strategy,scaling_point,selection_metric,n_runs,test_roc_auc_mean,test_roc_auc_std,test_pr_auc_mean,test_pr_auc_std,test_pr_auc_trapezoidal_mean,test_pr_auc_trapezoidal_std,test_loss_mean,test_loss_std
FedProx,2,Loss,5,0.8253915813779388,0.0006078506746837,0.4248369021390144,0.001105923973321,0.4247245498778438,0.001113426399301,0.4915935350824998,0.0006609807283606
FedProx,4,Loss,5,0.8248992507321897,0.0003369109281185,0.4213761171293441,0.0021591962579202,0.4212220127845082,0.0021686575891684,0.491867506516401,0.0004676890135204
FedProx,8,Loss,5,0.8229643248942532,0.0006052558604063,0.4159422810413591,0.0029975102312401,0.4158235150227368,0.0029983638966973,0.4940416403313179,0.0005794873972572
FedProx,16,Loss,5,0.8194248784793471,0.0002045135002158,0.4048064557535733,0.0018762804775574,0.4046490588565097,0.0018749051194124,0.4987396999469338,0.0007896743749669
FedProx,32,Loss,5,0.8135707743116495,0.0019604488911815,0.3897883853078729,0.00509436200982,0.389626213774613,0.0050911932301569,0.5072456267605501,0.0020054689295622
FedProx,64,Loss,5,0.8129422049678385,0.0010425850403546,0.3895944552113072,0.0042475670169579,0.389439725936987,0.0042515444331702,0.5080626807201467,0.0010291731110871
FedProx,128,Loss,5,0.8141527744686229,0.0007492634683431,0.3911421257698901,0.0028530968648241,0.3909731388006424,0.0028612894915275,0.5066881713614787,0.001370419562253
FedProx,256,Loss,5,0.8128330932406254,0.0012659031444711,0.3906711270924409,0.0051958759588361,0.3905038474988653,0.005203627553541,0.5074090932450911,0.0013053113968276
FedProx,512,Loss,5,0.8141063640175534,0.0018590296877919,0.3923526877268563,0.0052588881801441,0.3922018889410171,0.0052785798501974,0.5059217367132778,0.0019349067035317
FedProx,1024,Loss,5,0.8144398189489639,0.0005794109306627,0.395397926641436,0.0032843062313338,0.3952323915871114,0.0033028776263184,0.5065442511588633,0.0012015489975779
FedProx,2048,Loss,5,0.8140394290317197,0.001542503483353,0.3905348741670321,0.0035627124159422,0.3903783557569178,0.0035543128622261,0.506203980889689,0.0019381483901581
FedProx,4096,Loss,5,0.8140177972339883,0.0014226047592069,0.3942611259838559,0.0044662569396487,0.3941148776399953,0.0044689164302708,0.5080216853678983,0.0014494165084919
FedProx,8192,Loss,5,0.8128034436668724,0.0016485519708606,0.3893327436855825,0.002138197315547,0.3891576172923458,0.0021259241230714,0.51049709425273,0.0023302401224324
FedProx,16384,Loss,5,0.811967756865215,0.0015599377366533,0.3949211555255497,0.0046331854449232,0.3947617773365308,0.004646151953282,0.5351923581722196,0.0041530741929323
FedProx,2,PRROC,5,0.825147304524774,0.0004497285225344,0.4239023254038998,0.0010285474808702,0.423790416497827,0.0010375799258381,0.4927769653483859,0.0006457019928866
FedProx,4,PRROC,5,0.8248657769222373,0.0003192155263247,0.4213108315810434,0.0020397431371997,0.4211560673598687,0.0020488140419974,0.4919778547695234,0.0004866926288796
FedProx,8,PRROC,5,0.8229403476945665,0.0005918309290069,0.4158551015695609,0.0029391826011212,0.4157363573507099,0.0029400490993828,0.4941273577252827,0.0005696106983903
FedProx,16,PRROC,5,0.819393749423449,0.0002544462746053,0.404878915482789,0.0017737140386284,0.4047216319508302,0.0017725142136808,0.4987294969979468,0.0007789676229706
FedProx,32,PRROC,5,0.8115869921960183,0.0037044589600152,0.3893998721854672,0.0046127263065262,0.3892382905471134,0.0046108725356513,0.5404113013370974,0.0737350233951359
FedProx,64,PRROC,5,0.8129422049678385,0.0010425850403546,0.3895944552113072,0.0042475670169579,0.389439725936987,0.0042515444331702,0.5080626807201467,0.0010291731110871
FedProx,128,PRROC,5,0.8141527744686229,0.0007492634683431,0.3911421257698901,0.0028530968648241,0.3909731388006424,0.0028612894915275,0.5066881713614787,0.001370419562253
FedProx,256,PRROC,5,0.8111244834657132,0.0041978505622061,0.3904561583643519,0.0051102114928085,0.3903001946501714,0.0051216716361458,0.532438818838647,0.0564036862504673
FedProx,512,PRROC,5,0.8141063640175534,0.0018590296877919,0.3923526877268563,0.0052588881801441,0.3922018889410171,0.0052785798501974,0.5059217367132778,0.0019349067035317
FedProx,1024,PRROC,5,0.8144398189489639,0.0005794109306627,0.395397926641436,0.0032843062313338,0.3952323915871114,0.0033028776263184,0.5065442511588633,0.0012015489975779
FedProx,2048,PRROC,5,0.8140394290317197,0.001542503483353,0.3905348741670321,0.0035627124159422,0.3903783557569178,0.0035543128622261,0.506203980889689,0.0019381483901581
FedProx,4096,PRROC,5,0.8138131988155901,0.0011725313427545,0.3940051976432458,0.0040141392816082,0.3938592182247781,0.0040189447716261,0.5086737144765487,0.0015791763570427
FedProx,8192,PRROC,5,0.813447337167327,0.0016469130659464,0.3912432191534009,0.0017351129459841,0.3910728730520562,0.0017260733741205,0.5109408465179334,0.0024554214663307
FedProx,16384,PRROC,5,0.8120119877770089,0.0016008604586163,0.3949966406339807,0.0046789319533935,0.3948376509964233,0.0046918733429196,0.5353400057351776,0.0040261759427801
FedProx,2,ROC,5,0.8253961717571803,0.0003907763970807,0.4247092182132562,0.0018824404925674,0.4245951312438721,0.0018921965464892,0.4918738737932853,0.0005370573359395
FedProx,4,ROC,5,0.8248831231781912,0.0003175747101268,0.4213721113954086,0.0021501946291788,0.4212180939587366,0.0021597530979841,0.4919488156687558,0.0003742875353391
FedProx,8,ROC,5,0.8229643248942532,0.0006052558604063,0.4159422810413591,0.0029975102312401,0.4158235150227368,0.0029983638966973,0.4940416403313179,0.0005794873972572
FedProx,16,ROC,5,0.8194309638903599,0.0002102603085508,0.4048121518354172,0.001869414449076,0.4046546096846032,0.0018681557176697,0.498743161327451,0.0007856878493149
FedProx,32,ROC,5,0.8135707743116495,0.0019604488911815,0.3897883853078729,0.00509436200982,0.389626213774613,0.0050911932301569,0.5072456267605501,0.0020054689295622
FedProx,64,ROC,5,0.8129422049678385,0.0010425850403546,0.3895944552113072,0.0042475670169579,0.389439725936987,0.0042515444331702,0.5080626807201467,0.0010291731110871
FedProx,128,ROC,5,0.8141527744686229,0.0007492634683431,0.3911421257698901,0.0028530968648241,0.3909731388006424,0.0028612894915275,0.5066881713614787,0.001370419562253
FedProx,256,ROC,5,0.8128330932406254,0.0012659031444711,0.3906711270924409,0.0051958759588361,0.3905038474988653,0.005203627553541,0.5074090932450911,0.0013053113968276
FedProx,512,ROC,5,0.8141063640175534,0.0018590296877919,0.3923526877268563,0.0052588881801441,0.3922018889410171,0.0052785798501974,0.5059217367132778,0.0019349067035317
FedProx,1024,ROC,5,0.8144398189489639,0.0005794109306627,0.395397926641436,0.0032843062313338,0.3952323915871114,0.0033028776263184,0.5065442511588633,0.0012015489975779
FedProx,2048,ROC,5,0.8140394290317197,0.001542503483353,0.3905348741670321,0.0035627124159422,0.3903783557569178,0.0035543128622261,0.506203980889689,0.0019381483901581
FedProx,4096,ROC,5,0.8140177972339883,0.0014226047592069,0.3942611259838559,0.0044662569396487,0.3941148776399953,0.0044689164302708,0.5080216853678983,0.0014494165084919
FedProx,8192,ROC,5,0.813447337167327,0.0016469130659464,0.3912432191534009,0.0017351129459841,0.3910728730520562,0.0017260733741205,0.5109408465179334,0.0024554214663307
FedProx,16384,ROC,5,0.8120142408530586,0.0016039036338632,0.3949952205171135,0.0046774469504186,0.3948361427809594,0.0046902961226833,0.535378405379638,0.0039966120102976
SCAFFOLD,2,Loss,5,0.8217178914763854,0.0008136604261354,0.4084712756497259,0.0044991301829755,0.4083183137112153,0.0045073086968485,0.4962679882832474,0.0011524257815993
SCAFFOLD,4,Loss,5,0.8183614444011518,0.0006806876726243,0.4018704027133485,0.0022477781744768,0.4017188884802619,0.0022448413274005,0.5006197042084093,0.00132177938766
SCAFFOLD,8,Loss,5,0.8166284819678695,0.0015861243816647,0.394867398024113,0.0061516905766504,0.3946960583084748,0.0061349723407528,0.5031893741313784,0.0020072173070296
SCAFFOLD,16,Loss,5,0.815969812111145,0.0021774974846347,0.3973741318374194,0.0074115851253452,0.3972052499564502,0.0074254957646861,0.504689885999527,0.0028049101092524
SCAFFOLD,32,Loss,5,0.8126143495216217,0.0012693598498315,0.3886167596502126,0.0033038224599945,0.3884560981347098,0.0032928660024285,0.5107685882345947,0.0018756422282076
SCAFFOLD,64,Loss,5,0.8114322669360796,0.0006206513550179,0.3916017884946263,0.001644439796943,0.3914366048137592,0.0016386550742563,0.5130504241475858,0.0020413493431237
SCAFFOLD,128,Loss,5,0.8107613135225394,0.0015724232714414,0.3859212340278704,0.0063459200816456,0.3857612812759539,0.0063387864339127,0.5143178687703773,0.002187953631513
SCAFFOLD,256,Loss,5,0.8104498671433455,0.0035413792272833,0.3873122944945981,0.0063565416535909,0.3871515034846725,0.0063528952859786,0.5146277994327411,0.0037942932895685
SCAFFOLD,512,Loss,5,0.8112896253554693,0.0014859136605458,0.390576295563944,0.0016464990330183,0.3904021343386006,0.0016432195128507,0.5131944532262483,0.0017577384579743
SCAFFOLD,1024,Loss,5,0.8111100867794836,0.0020914827105998,0.3895719808115864,0.0048281892354559,0.3894016047575106,0.0048317117016242,0.5124428116947822,0.0021953717709866
SCAFFOLD,2048,Loss,5,0.8107666972566688,0.001892682491478,0.3887831902597572,0.0055993898320152,0.3886000212669903,0.0056013575385746,0.5136852502765112,0.00109207429905
SCAFFOLD,4096,Loss,5,0.8118707051689406,0.0016682709755407,0.3902381257066603,0.0053366735560512,0.3900806788704275,0.0053446464481939,0.5128598954290216,0.0021924486141268
SCAFFOLD,8192,Loss,5,0.8112951785157346,0.0018181036507813,0.3868710583695168,0.0015478991511268,0.3867147015327868,0.001559867661053,0.5154346226240003,0.0035378986723975
SCAFFOLD,16384,Loss,5,0.8088198105166604,0.0012324180928665,0.3900952425145266,0.0034578317898662,0.389942310049385,0.0034876048630454,0.5283682552885456,0.0026665658277498
SCAFFOLD,2,PRROC,5,0.8217140763108013,0.0008146701361804,0.4084626954415196,0.0045025977164375,0.408309717866839,0.0045107377113172,0.496268359483794,0.001152570570287
SCAFFOLD,4,PRROC,5,0.8183614444011518,0.0006806876726243,0.4018704027133485,0.0022477781744768,0.4017188884802619,0.0022448413274005,0.5006197042084093,0.00132177938766
SCAFFOLD,8,PRROC,5,0.8166218626863563,0.0015769517998192,0.3948686319969875,0.0061531592447445,0.394697251216013,0.0061363954794111,0.5031979429678317,0.001996309327677
SCAFFOLD,16,PRROC,5,0.8159632793244278,0.0021688652820501,0.3973762496690455,0.0074142824438814,0.3972073665208573,0.0074281849763473,0.5046994240428393,0.0027922809200507
SCAFFOLD,32,PRROC,5,0.8126143495216217,0.0012693598498315,0.3886167596502126,0.0033038224599945,0.3884560981347098,0.0032928660024285,0.5107685882345947,0.0018756422282076
SCAFFOLD,64,PRROC,5,0.8114322669360796,0.0006206513550179,0.3916017884946263,0.001644439796943,0.3914366048137592,0.0016386550742563,0.5130504241475858,0.0020413493431237
SCAFFOLD,128,PRROC,5,0.8107613135225394,0.0015724232714414,0.3859212340278704,0.0063459200816456,0.3857612812759539,0.0063387864339127,0.5143178687703773,0.002187953631513
SCAFFOLD,256,PRROC,5,0.8104498671433455,0.0035413792272833,0.3873122944945981,0.0063565416535909,0.3871515034846725,0.0063528952859786,0.5146277994327411,0.0037942932895685
SCAFFOLD,512,PRROC,5,0.8112896253554693,0.0014859136605458,0.390576295563944,0.0016464990330183,0.3904021343386006,0.0016432195128507,0.5131944532262483,0.0017577384579743
SCAFFOLD,1024,PRROC,5,0.8111100867794836,0.0020914827105998,0.3895719808115864,0.0048281892354559,0.3894016047575106,0.0048317117016242,0.5124428116947822,0.0021953717709866
SCAFFOLD,2048,PRROC,5,0.8107666972566688,0.001892682491478,0.3887831902597572,0.0055993898320152,0.3886000212669903,0.0056013575385746,0.5136852502765112,0.00109207429905
SCAFFOLD,4096,PRROC,5,0.8118707051689406,0.0016682709755407,0.3902381257066603,0.0053366735560512,0.3900806788704275,0.0053446464481939,0.5128598954290216,0.0021924486141268
SCAFFOLD,8192,PRROC,5,0.8112951785157346,0.0018181036507813,0.3868710583695168,0.0015478991511268,0.3867147015327868,0.001559867661053,0.5154346226240003,0.0035378986723975
SCAFFOLD,16384,PRROC,5,0.8088198105166604,0.0012324180928665,0.3900952425145266,0.0034578317898662,0.389942310049385,0.0034876048630454,0.5283682552885456,0.0026665658277498
SCAFFOLD,2,ROC,5,0.8217178914763854,0.0008136604261354,0.4084712756497259,0.0044991301829755,0.4083183137112153,0.0045073086968485,0.4962679882832474,0.0011524257815993
SCAFFOLD,4,ROC,5,0.8183614444011518,0.0006806876726243,0.4018704027133485,0.0022477781744768,0.4017188884802619,0.0022448413274005,0.5006197042084093,0.00132177938766
SCAFFOLD,8,ROC,5,0.8166284819678695,0.0015861243816647,0.394867398024113,0.0061516905766504,0.3946960583084748,0.0061349723407528,0.5031893741313784,0.0020072173070296
SCAFFOLD,16,ROC,5,0.815969812111145,0.0021774974846347,0.3973741318374194,0.0074115851253452,0.3972052499564502,0.0074254957646861,0.504689885999527,0.0028049101092524
SCAFFOLD,32,ROC,5,0.8126143495216217,0.0012693598498315,0.3886167596502126,0.0033038224599945,0.3884560981347098,0.0032928660024285,0.5107685882345947,0.0018756422282076
SCAFFOLD,64,ROC,5,0.8114322669360796,0.0006206513550179,0.3916017884946263,0.001644439796943,0.3914366048137592,0.0016386550742563,0.5130504241475858,0.0020413493431237
SCAFFOLD,128,ROC,5,0.8107613135225394,0.0015724232714414,0.3859212340278704,0.0063459200816456,0.3857612812759539,0.0063387864339127,0.5143178687703773,0.002187953631513
SCAFFOLD,256,ROC,5,0.8104498671433455,0.0035413792272833,0.3873122944945981,0.0063565416535909,0.3871515034846725,0.0063528952859786,0.5146277994327411,0.0037942932895685
SCAFFOLD,512,ROC,5,0.8112896253554693,0.0014859136605458,0.390576295563944,0.0016464990330183,0.3904021343386006,0.0016432195128507,0.5131944532262483,0.0017577384579743
SCAFFOLD,1024,ROC,5,0.8111100867794836,0.0020914827105998,0.3895719808115864,0.0048281892354559,0.3894016047575106,0.0048317117016242,0.5124428116947822,0.0021953717709866
SCAFFOLD,2048,ROC,5,0.8107666972566688,0.001892682491478,0.3887831902597572,0.0055993898320152,0.3886000212669903,0.0056013575385746,0.5136852502765112,0.00109207429905
SCAFFOLD,4096,ROC,5,0.8118707051689406,0.0016682709755407,0.3902381257066603,0.0053366735560512,0.3900806788704275,0.0053446464481939,0.5128598954290216,0.0021924486141268
SCAFFOLD,8192,ROC,5,0.8112951785157346,0.0018181036507813,0.3868710583695168,0.0015478991511268,0.3867147015327868,0.001559867661053,0.5154346226240003,0.0035378986723975
SCAFFOLD,16384,ROC,5,0.8088198105166604,0.0012324180928665,0.3900952425145266,0.0034578317898662,0.389942310049385,0.0034876048630454,0.5283682552885456,0.0026665658277498
FedAdam,2,Loss,5,0.8242548343755536,0.0003611341511569,0.4171744716427225,0.0013570163397516,0.4170263825770831,0.0013627819163399,0.4925859000078245,0.0004711439082709
FedAdam,4,Loss,5,0.8250572906541189,0.0005293421963272,0.4207313212001496,0.0031243388864219,0.4205751373624674,0.0031138512964481,0.4917155664591376,0.0003878529341889
FedAdam,8,Loss,5,0.8246085854565927,0.001375323877469,0.4197682487076296,0.0039168439753526,0.4196252311247941,0.0039151768990328,0.4928409094927356,0.0020874348064995
FedAdam,16,Loss,5,0.8244894986441569,0.0010453290186835,0.4204344305397156,0.0032353795629835,0.4202936209194773,0.0032306619593167,0.4928114048222336,0.001236170899323
FedAdam,32,Loss,5,0.8245360918033345,0.00104326624318,0.4202445519898786,0.0045644705305612,0.4201032491770628,0.0045539646267734,0.4924576972360081,0.0014292611906787
FedAdam,64,Loss,5,0.8252864053259129,0.0005105491596795,0.4225628610555088,0.0012920030751838,0.4224137475264089,0.0012756988030695,0.4915604663615999,0.0006340024031122
