scaling_point,run,round,roc_auc,pr_auc,loss,n_samples
128,1,1,0.479301,0.142170,0.924927,25368
128,1,2,0.644737,0.219223,0.753877,25368
128,1,3,0.735065,0.287489,0.672304,25368
128,1,4,0.776884,0.333493,0.609798,25368
128,1,5,0.796753,0.357674,0.571768,25368
128,1,6,0.802734,0.364128,0.588396,25368
128,1,7,0.807428,0.372676,0.542904,25368
128,1,8,0.799528,0.358478,0.560584,25368
128,1,9,0.804685,0.359130,0.566266,25368
128,1,10,0.797924,0.349116,0.525619,25368
128,1,11,0.798307,0.353525,0.541553,25368
128,1,12,0.812090,0.376051,0.539482,25368
128,1,13,0.814605,0.387496,0.510008,25368
128,1,14,0.816825,0.399666,0.529499,25368
128,1,15,0.817635,0.399083,0.506680,25368
128,1,16,0.816371,0.394155,0.513758,25368
128,1,17,0.818859,0.399290,0.507436,25368
128,1,18,0.821687,0.406743,0.499497,25368
128,1,19,0.821111,0.405227,0.507770,25368
128,1,20,0.822336,0.406246,0.496211,25368
128,1,21,0.823001,0.406458,0.500917,25368
128,1,22,0.823892,0.408493,0.499936,25368
128,1,23,0.825179,0.412414,0.492218,25368
128,1,24,0.825897,0.414928,0.496589,25368
128,1,25,0.826649,0.416991,0.494334,25368
128,1,26,0.826608,0.416303,0.491488,25368
128,1,27,0.826016,0.414479,0.495291,25368
128,1,28,0.826213,0.415079,0.492756,25368
128,1,29,0.826878,0.416692,0.490413,25368
128,1,30,0.827269,0.417519,0.492581,25368
128,1,31,0.827493,0.417881,0.490971,25368
128,1,32,0.827601,0.417894,0.489043,25368
128,1,33,0.827715,0.418050,0.490519,25368
128,1,34,0.828211,0.419320,0.489578,25368
128,1,35,0.828849,0.421259,0.487371,25368
128,1,36,0.829238,0.422461,0.488165,25368
128,1,37,0.829470,0.423304,0.487999,25368
128,1,38,0.829576,0.423980,0.486560,25368
128,1,39,0.829493,0.423968,0.487432,25368
128,1,40,0.829539,0.424337,0.487410,25368
128,1,41,0.829769,0.425069,0.486159,25368
128,1,42,0.829938,0.425498,0.486628,25368
128,1,43,0.830010,0.425759,0.486772,25368
128,1,44,0.829990,0.425849,0.485875,25368
128,1,45,0.829900,0.425820,0.486152,25368
128,2,1,0.492488,0.140910,0.983708,25368
128,2,2,0.647467,0.208205,0.822114,25368
128,2,3,0.733498,0.278274,0.661187,25368
128,2,4,0.765808,0.317997,0.670092,25368
128,2,5,0.795504,0.356689,0.600902,25368
128,2,6,0.800452,0.360351,0.601712,25368
