scaling_point,run,round,roc_auc,pr_auc,loss,n_samples
2,1,1,0.710446,0.269168,0.688960,25368
2,1,2,0.737484,0.291876,0.662028,25368
2,1,3,0.756741,0.312542,0.616374,25368
2,1,4,0.770133,0.333513,0.597971,25368
2,1,5,0.793011,0.356341,0.594849,25368
2,1,6,0.791626,0.360652,0.562977,25368
2,1,7,0.799893,0.366788,0.551821,25368
2,1,8,0.802086,0.371595,0.538448,25368
2,1,9,0.807242,0.378840,0.524649,25368
2,1,10,0.812444,0.384879,0.519897,25368
2,1,11,0.807878,0.377757,0.540134,25368
2,1,12,0.802829,0.366713,0.689971,25368
2,1,13,0.815628,0.391555,0.525217,25368
2,1,14,0.817505,0.395807,0.573014,25368
2,1,15,0.811301,0.378891,0.565756,25368
2,1,16,0.813519,0.381576,0.559303,25368
2,1,17,0.821812,0.402059,0.500865,25368
2,1,18,0.818671,0.397175,0.553009,25368
2,1,19,0.822492,0.405332,0.502415,25368
2,1,20,0.820686,0.398472,0.507086,25368
2,1,21,0.819250,0.394994,0.523609,25368
2,1,22,0.821148,0.399675,0.504196,25368
2,1,23,0.823811,0.406714,0.493303,25368
2,1,24,0.825145,0.410805,0.504613,25368
2,1,25,0.825505,0.411683,0.507979,25368
2,1,26,0.825362,0.410518,0.496766,25368
2,1,27,0.824758,0.408548,0.491480,25368
2,1,28,0.824110,0.406970,0.498653,25368
2,1,29,0.824139,0.407091,0.501845,25368
2,1,30,0.824888,0.408792,0.494867,25368
2,1,31,0.825771,0.410981,0.490285,25368
2,1,32,0.826326,0.412631,0.493453,25368
2,1,33,0.826629,0.413882,0.496298,25368
2,1,34,0.826807,0.414900,0.493466,25368
2,1,35,0.826829,0.415675,0.489512,25368
2,1,36,0.826731,0.415914,0.490273,25368
2,1,37,0.826699,0.416394,0.493119,25368
2,1,38,0.826962,0.417541,0.492233,25368
2,1,39,0.827426,0.418859,0.489023,25368
2,1,40,0.827882,0.420234,0.488361,25368
2,1,41,0.828192,0.421100,0.489979,25368
2,1,42,0.828375,0.421659,0.490205,25368
2,1,43,0.828484,0.422191,0.488438,25368
2,1,44,0.828490,0.422433,0.487389,25368
2,1,45,0.828474,0.422580,0.488242,25368
2,2,1,0.380485,0.108148,1.138814,25368
2,2,2,0.567604,0.163566,0.858945,25368
2,2,3,0.716166,0.265706,0.706702,25368
2,2,4,0.775735,0.336413,0.617769,25368
2,2,5,0.796999,0.365517,0.592063,25368
2,2,6,0.800830,0.372344,0.610935,25368
2,2,7,0.807851,0.385021,0.567029,25368
2,2,8,0.808546,0.386239,0.558924,25368
2,2,9,0.807695,0.378636,0.524282,25368
2,2,10,0.804770,0.368868,0.535703,25368
2,2,11,0.796097,0.351123,0.529167,25368
2,2,12,0.810488,0.375590,0.511724,25368
2,2,13,0.815015,0.385472,0.510981,25368
2,2,14,0.816571,0.392018,0.503684,25368
2,2,15,0.817792,0.397292,0.507283,25368
2,2,16,0.817994,0.398877,0.502466,25368
2,2,17,0.818911,0.401041,0.502450,25368
2,2,18,0.821764,0.406995,0.496766,25368
2,2,19,0.823677,0.410772,0.494412,25368
2,2,20,0.823699,0.410524,0.493998,25368
2,2,21,0.823648,0.410857,0.493831,25368
2,2,22,0.823421,0.410339,0.495681,25368
2,2,23,0.823392,0.409684,0.493544,25368
2,2,24,0.823756,0.410453,0.494013,25368
2,2,25,0.824475,0.412603,0.492915,25368
2,2,26,0.824624,0.412945,0.492764,25368
