scaling_point,run,round,roc_auc,pr_auc,loss,n_samples
8192,1,1,0.460424,0.133417,0.920797,25368
8192,1,5,0.797241,0.376438,0.571025,25368
8192,1,10,0.805719,0.369224,0.528372,25368
8192,1,15,0.817562,0.396829,0.502115,25368
8192,1,16,0.819584,0.403213,0.499103,25368
8192,1,17,0.818515,0.403508,0.513864,25368
8192,1,18,0.820855,0.409327,0.499413,25368
8192,1,19,0.821694,0.411712,0.496420,25368
8192,1,20,0.822537,0.414003,0.501623,25368
8192,1,21,0.823683,0.416443,0.503206,25368
8192,1,22,0.824042,0.416279,0.494075,25368
8192,1,23,0.825286,0.419006,0.493307,25368
8192,1,24,0.826707,0.422418,0.500189,25368
8192,1,25,0.826831,0.422135,0.493954,25368
8192,1,26,0.826575,0.420386,0.490328,25368
8192,1,27,0.826582,0.420040,0.492715,25368
8192,1,28,0.826342,0.419095,0.497118,25368
8192,1,29,0.826756,0.419657,0.492134,25368
8192,1,30,0.827073,0.420512,0.490215,25368
8192,1,31,0.827449,0.421941,0.492635,25368
8192,1,32,0.827688,0.423009,0.496026,25368
8192,1,33,0.827667,0.422858,0.491970,25368
8192,1,34,0.827546,0.422316,0.489634,25368
8192,1,35,0.827976,0.423193,0.491474,25368
8192,1,36,0.828338,0.423891,0.493046,25368
8192,1,37,0.828574,0.424154,0.490373,25368
8192,1,38,0.828768,0.424345,0.488759,25368
8192,1,39,0.829153,0.425113,0.489703,25368
8192,1,40,0.829440,0.425546,0.491168,25368
8192,1,41,0.829576,0.425895,0.489274,25368
8192,1,42,0.829666,0.426014,0.488314,25368
8192,1,43,0.829830,0.426363,0.489347,25368
8192,1,44,0.829890,0.426524,0.490095,25368
8192,1,45,0.829854,0.426739,0.488871,25368
8192,2,1,0.391683,0.111930,1.013600,25368
8192,2,2,0.482711,0.140866,0.857796,25368
8192,2,3,0.676949,0.247197,0.658591,25368
8192,2,4,0.780706,0.349059,0.582546,25368
8192,2,5,0.802669,0.383928,0.591468,25368
8192,2,6,0.807827,0.393113,0.604815,25368
8192,2,7,0.806908,0.391519,0.597401,25368
8192,2,8,0.802791,0.383184,0.571119,25368
8192,2,9,0.795315,0.367533,0.553800,25368
8192,2,10,0.797732,0.361873,0.531357,25368
8192,2,11,0.799903,0.362891,0.536167,25368
8192,2,12,0.805649,0.368345,0.528347,25368
8192,2,13,0.805865,0.386477,0.613762,25368
8192,2,14,0.809631,0.380775,0.539651,25368
8192,2,15,0.812207,0.391311,0.511360,25368
8192,2,16,0.806488,0.391338,0.583001,25368
8192,2,17,0.814676,0.396146,0.505103,25368
8192,2,18,0.816579,0.394521,0.513829,25368
8192,2,19,0.820069,0.400676,0.498578,25368
8192,2,20,0.820676,0.399128,0.531877,25368
8192,2,21,0.821696,0.396489,0.507391,25368
8192,2,22,0.818956,0.387372,0.498695,25368
8192,2,23,0.818956,0.386544,0.499293,25368
8192,2,24,0.822023,0.394275,0.500664,25368
8192,2,25,0.823935,0.400463,0.514572,25368
8192,2,26,0.824660,0.403521,0.505468,25368
8192,2,27,0.824681,0.404770,0.492660,25368
8192,2,28,0.824721,0.406136,0.491778,25368
8192,2,29,0.825406,0.408230,0.490708,25368
8192,2,30,0.825874,0.409555,0.496054,25368
8192,2,31,0.826051,0.410720,0.502359,25368
8192,2,32,0.826582,0.413489,0.497098,25368
8192,2,33,0.826952,0.415861,0.489890,25368
8192,2,34,0.827085,0.417254,0.488437,25368
8192,2,35,0.827424,0.418725,0.488432,25368
8192,2,36,0.827853,0.420113,0.491631,25368
8192,2,37,0.828178,0.421038,0.495970,25368
8192,2,38,0.828407,0.421823,0.494625,25368
8192,2,39,0.828461,0.422121,0.489502,25368
8192,2,40,0.828377,0.422038,0.487529,25368
8192,2,41,0.828436,0.422063,0.487743,25368
8192,2,42,0.828561,0.421963,0.490126,25368
8192,2,43,0.828590,0.421622,0.493967,25368
8192,2,44,0.828646,0.421673,0.493924,25368
8192,2,45,0.828736,0.421940,0.490163,25368
8192,3,1,0.483009,0.132073,1.139437,25368
8192,3,2,0.571088,0.175729,0.784781,25368
8192,3,3,0.693776,0.267205,0.731358,25368
8192,3,4,0.764009,0.325459,0.589528,25368
8192,3,5,0.792566,0.358935,0.677882,25368
8192,3,6,0.803735,0.370506,0.566000,25368
8192,3,7,0.808341,0.379812,0.560203,25368
8192,3,8,0.799448,0.361126,0.606162,25368
8192,3,9,0.805896,0.368514,0.532715,25368
8192,3,10,0.805535,0.365132,0.526157,25368
8192,3,11,0.799639,0.357253,0.564929,25368
8192,3,12,0.811298,0.376572,0.530689,25368
8192,3,13,0.814760,0.389784,0.517659,25368
8192,3,14,0.817487,0.399075,0.538073,25368
8192,3,15,0.814496,0.392110,0.506356,25368
8192,3,16,0.817107,0.397368,0.500577,25368
8192,3,17,0.817067,0.399603,0.527484,25368
8192,3,18,0.819996,0.404891,0.502358,25368
8192,3,19,0.821425,0.408498,0.497173,25368
8192,3,20,0.823550,0.414777,0.493921,25368
8192,3,21,0.824177,0.417629,0.510330,25368
8192,3,22,0.824315,0.416822,0.502035,25368
8192,3,23,0.823876,0.413604,0.493972,25368
8192,3,24,0.824404,0.413984,0.493010,25368
8192,3,25,0.825370,0.416149,0.497555,25368
8192,3,26,0.825323,0.415247,0.503051,25368
8192,3,27,0.825617,0.415411,0.494059,25368
8192,3,28,0.825565,0.415307,0.491111,25368
8192,3,29,0.826154,0.417009,0.491230,25368
8192,3,30,0.826970,0.419875,0.496730,25368
8192,3,31,0.827433,0.421775,0.499010,25368
8192,3,32,0.827507,0.421941,0.492416,25368
8192,3,33,0.827544,0.422042,0.489499,25368
8192,3,34,0.828223,0.424252,0.489276,25368
8192,3,35,0.829002,0.426635,0.492193,25368
8192,3,36,0.829365,0.427386,0.493899,25368
8192,3,37,0.829523,0.427445,0.490185,25368
8192,3,38,0.829539,0.427353,0.487387,25368
8192,3,39,0.829690,0.427752,0.487364,25368
8192,3,40,0.829954,0.428505,0.490259,25368
8192,3,41,0.830073,0.428958,0.492321,25368
8192,3,42,0.830008,0.428960,0.489565,25368
8192,3,43,0.829837,0.428624,0.487410,25368
8192,3,44,0.829888,0.428803,0.487896,25368
8192,3,45,0.830076,0.429337,0.490500,25368
8192,4,1,0.612633,0.202755,0.753364,25368
8192,4,2,0.649528,0.226486,0.708038,25368
8192,4,3,0.716216,0.278804,0.637996,25368
8192,4,4,0.773112,0.339697,0.578200,25368
8192,4,5,0.797263,0.374009,0.556650,25368
8192,4,6,0.804811,0.384632,0.555255,25368
8192,4,7,0.806339,0.382538,0.547661,25368
8192,4,8,0.802752,0.374977,0.549945,25368
8192,4,9,0.808544,0.379468,0.527193,25368
8192,4,10,0.805802,0.377944,0.551284,25368
8192,4,11,0.815477,0.385696,0.568725,25368
8192,4,12,0.798704,0.363102,0.770664,25368
8192,4,13,0.817551,0.391583,0.526622,25368
8192,4,14,0.818040,0.394303,0.529452,25368
8192,4,15,0.818804,0.403964,0.571304,25368
8192,4,16,0.822447,0.410098,0.513292,25368
8192,4,17,0.820989,0.402380,0.511172,25368
8192,4,18,0.821694,0.403498,0.498785,25368
8192,4,19,0.820983,0.403542,0.524956,25368
8192,4,20,0.822038,0.405242,0.523738,25368
8192,4,21,0.822613,0.404817,0.496465,25368
8192,4,22,0.821218,0.400983,0.499364,25368
8192,4,23,0.822320,0.404164,0.496258,25368
8192,4,24,0.823946,0.408812,0.503774,25368
