client_id,samples,positives,negatives,positive_ratio,negative_ratio,label_entropy
0,11,2,9,0.18181818181818182,0.8181818181818182,0.6840384356390418
1,11,1,10,0.09090909090909091,0.9090909090909091,0.4394969869215134
2,11,1,10,0.09090909090909091,0.9090909090909091,0.4394969869215134
3,11,1,10,0.09090909090909091,0.9090909090909091,0.4394969869215134
4,11,2,9,0.18181818181818182,0.8181818181818182,0.6840384356390418
5,11,1,10,0.09090909090909091,0.9090909090909091,0.4394969869215134
6,11,2,9,0.18181818181818182,0.8181818181818182,0.6840384356390418
7,11,2,9,0.18181818181818182,0.8181818181818182,0.6840384356390418
8,11,0,11,0.0,1.0,0.0
9,11,2,9,0.18181818181818182,0.8181818181818182,0.6840384356390418
10,11,0,11,0.0,1.0,0.0
11,11,2,9,0.18181818181818182,0.8181818181818182,0.6840384356390418
12,11,2,9,0.18181818181818182,0.8181818181818182,0.6840384356390418
13,11,4,7,0.36363636363636365,0.6363636363636364,0.9456603046006401
14,11,0,11,0.0,1.0,0.0
15,11,1,10,0.09090909090909091,0.9090909090909091,0.4394969869215134
16,11,1,10,0.09090909090909091,0.9090909090909091,0.4394969869215134
17,11,4,7,0.36363636363636365,0.6363636363636364,0.9456603046006401
18,11,2,9,0.18181818181818182,0.8181818181818182,0.6840384356390418
19,11,2,9,0.18181818181818182,0.8181818181818182,0.6840384356390418
20,11,1,10,0.09090909090909091,0.9090909090909091,0.4394969869215134
21,11,2,9,0.18181818181818182,0.8181818181818182,0.6840384356390418
22,11,2,9,0.18181818181818182,0.8181818181818182,0.6840384356390418
23,11,1,10,0.09090909090909091,0.9090909090909091,0.4394969869215134
24,11,3,8,0.2727272727272727,0.7272727272727273,0.8453509366224364
25,11,3,8,0.2727272727272727,0.7272727272727273,0.8453509366224364
26,11,2,9,0.18181818181818182,0.8181818181818182,0.6840384356390418
27,11,4,7,0.36363636363636365,0.6363636363636364,0.9456603046006401
28,11,1,10,0.09090909090909091,0.9090909090909091,0.4394969869215134
29,11,0,11,0.0,1.0,0.0
30,11,2,9,0.18181818181818182,0.8181818181818182,0.6840384356390418
31,11,5,6,0.45454545454545453,0.5454545454545454,0.9940302114769565
32,11,1,10,0.09090909090909091,0.9090909090909091,0.4394969869215134
33,11,2,9,0.18181818181818182,0.8181818181818182,0.6840384356390418
34,11,3,8,0.2727272727272727,0.7272727272727273,0.8453509366224364
35,11,4,7,0.36363636363636365,0.6363636363636364,0.9456603046006401
36,11,1,10,0.09090909090909091,0.9090909090909091,0.4394969869215134
37,11,1,10,0.09090909090909091,0.9090909090909091,0.4394969869215134
38,11,0,11,0.0,1.0,0.0
39,11,2,9,0.18181818181818182,0.8181818181818182,0.6840384356390418
40,11,1,10,0.09090909090909091,0.9090909090909091,0.4394969869215134
