cosine_similarity_to_prev,delta_l2_from_prev,file_size_bytes,filename,finite,identical_to_prev,keys_same_as_prev,loadable,max_abs_delta_from_prev,mean_abs_delta_from_prev,num_parameters,num_tensors,param_l2,param_max_abs,param_mean_abs,path,relative_delta_l2_from_prev,round,sha256
,,158181,model_round_1_run_1.pt,True,,,True,,,38786,6,27.78258514404297,1.1405401229858398,0.0941973626613617,result/splits_iid_scaling/splits_iid_32768_clients.json/all_rounds_run_1/model_round_1_run_1.pt,,1,991ada8c8b3f4cb3f8bd0f8c4c241e57ba5f5f3b8e9c5a8ddfb9c38f52fb575b
0.9999986290931702,0.05308825150132179,158181,model_round_2_run_1.pt,True,False,True,True,0.004900224506855011,0.00015641673235222697,38786,6,27.78315544128418,1.1419609785079956,0.09419865161180496,result/splits_iid_scaling/splits_iid_32768_clients.json/all_rounds_run_1/model_round_2_run_1.pt,0.001910846353068939,2,e60e5e58d1671354f30875449fe5e55444217c1692b938a85d729d5362692413
0.9999963045120239,0.08528909087181091,158181,model_round_3_run_1.pt,True,False,True,True,0.008674770593643188,0.0002396431373199448,38786,6,27.78396224975586,1.1426881551742554,0.09419993311166763,result/splits_iid_scaling/splits_iid_32768_clients.json/all_rounds_run_1/model_round_3_run_1.pt,0.003069812968223048,3,501e37a88f64accb5c0a98eb704bd851314d6e24e20852727a4f7659fd05fe7a
0.9999949932098389,0.09844695776700974,158181,model_round_4_run_1.pt,True,False,True,True,0.010445594787597656,0.0002749088453128934,38786,6,27.78386878967285,1.143885612487793,0.09419924020767212,result/splits_iid_scaling/splits_iid_32768_clients.json/all_rounds_run_1/model_round_4_run_1.pt,0.003543301595432984,4,aeaf0c3df9ee4c4acc4f9416e085c87a796ed208c38d82c34d0ca0ac3939e5d5
0.9999953508377075,0.09240512549877167,158181,model_round_5_run_1.pt,True,False,True,True,0.008237473666667938,0.0002736660826485604,38786,6,27.78284454345703,1.1447768211364746,0.09419412165880203,result/splits_iid_scaling/splits_iid_32768_clients.json/all_rounds_run_1/model_round_5_run_1.pt,0.0033258552362987787,5,4d741e5e77672d7c1c4a4a61fe26babc858494ab906fcd394c9077dcddfcb73a
0.9999924302101135,0.11142893135547638,158181,model_round_6_run_1.pt,True,False,True,True,0.013085722923278809,0.0003217617340851575,38786,6,27.779598236083984,1.1459364891052246,0.09418176859617233,result/splits_iid_scaling/splits_iid_32768_clients.json/all_rounds_run_1/model_round_6_run_1.pt,0.004010709961004275,6,7e0b89f7c73bec25a4ca9794dbdd2ae7a41b3144b6ba2ce3405fd14200787c6a
0.9999922513961792,0.11146196722984314,158181,model_round_7_run_1.pt,True,False,True,True,0.013996772468090057,0.0003221985243726522,38786,6,27.774700164794922,1.1465685367584229,0.09416475147008896,result/splits_iid_scaling/splits_iid_32768_clients.json/all_rounds_run_1/model_round_7_run_1.pt,0.00401236786373177,7,767b731b4ed8602f7aa0c8c86db9322180c7c88e2a84898ddd87e1dc4cb24765
0.9999945163726807,0.09317943453788757,158181,model_round_8_run_1.pt,True,False,True,True,0.008183769881725311,0.0002782814553938806,38786,6,27.768047332763672,1.1467607021331787,0.09414118528366089,result/splits_iid_scaling/splits_iid_32768_clients.json/all_rounds_run_1/model_round_8_run_1.pt,0.0033548313387733587,8,5a18db435ee22abd2da7a67c9ecca4577b25ac2c3b36316246196d65b4606eb1
0.9999923706054688,0.11029133945703506,158181,model_round_9_run_1.pt,True,False,True,True,0.009724676609039307,0.00031364656751975417,38786,6,27.75919532775879,1.146134614944458,0.09410994499921799,result/splits_iid_scaling/splits_iid_32768_clients.json/all_rounds_run_1/model_round_9_run_1.pt,0.003971879554054984,9,5fcecc60f6b6adc5e0d91b0ffbcf72f3c78adbed3c33d3be278f18b4aeb820eb
0.9999960660934448,0.08360286056995392,158193,model_round_10_run_1.pt,True,False,True,True,0.006693720817565918,0.0002555722021497786,38786,6,27.747400283813477,1.1449220180511475,0.09406843036413193,result/splits_iid_scaling/splits_iid_32768_clients.json/all_rounds_run_1/model_round_10_run_1.pt,0.003011717723905069,10,6cebbe6830bf25e295965a9b0af2d93c025a49225404b8c929efe322321e3a0f
0.9999942779541016,0.10043489187955856,158193,model_round_11_run_1.pt,True,False,True,True,0.010552257299423218,0.0002998265263158828,38786,6,27.732749938964844,1.1432658433914185,0.09401696175336838,result/splits_iid_scaling/splits_iid_32768_clients.json/all_rounds_run_1/model_round_11_run_1.pt,0.003619614481077982,11,45b7ad589d5c5efed1f219d779f2316eb427da0d4588f8ccdc0aa6f84ec4c9a8
0.9999964833259583,0.0793616771697998,158193,model_round_12_run_1.pt,True,False,True,True,0.0069424062967300415,0.000243983551627025,38786,6,27.715185165405273,1.1416112184524536,0.09395558387041092,result/splits_iid_scaling/splits_iid_32768_clients.json/all_rounds_run_1/model_round_12_run_1.pt,0.0028616591338565998,12,2ea2d44ee15e6aa551a9b5c0e4b2df57e4a5f202efbd08dbc67817dfab351087
0.999994695186615,0.09565472602844238,158193,model_round_13_run_1.pt,True,False,True,True,0.011618643999099731,0.0002750517742242664,38786,6,27.695167541503906,1.1402697563171387,0.09388523548841476,result/splits_iid_scaling/splits_iid_32768_clients.json/all_rounds_run_1/model_round_13_run_1.pt,0.003451347175116145,13,02931a2d2c5737238fcf30ad3b3e1dc4c86920c2b5b7c71d22dca7f5f0f97049
