strategy,threshold_regime,scaling_point,n_runs,selected_threshold_mean,selected_threshold_std,test_recall_mean,test_recall_std,test_specificity_mean,test_specificity_std,test_false_positive_rate_mean,test_false_positive_rate_std,test_false_positives_per_1000_negatives_mean,test_false_positives_per_1000_negatives_std
SCAFFOLD,minimum_recall,2,5,0.5869775891304017,0.006819476369923873,0.7969161126043287,0.002755075087318789,0.6938215627003755,0.003690016880415421,0.30617843729962446,0.0036900168804154263,306.1784372996244,3.6900168804154116
SCAFFOLD,minimum_recall,4,5,0.5770241022109985,0.00355004051346649,0.8022068185033244,0.003204684960168429,0.6833974535128698,0.0032912260235450205,0.31660254648713015,0.0032912260235450066,316.60254648713016,3.291226023545023
SCAFFOLD,minimum_recall,8,5,0.57171550989151,0.006334621714449894,0.8004526807186305,0.0034674242353608157,0.684950077860218,0.0031854804100353486,0.31504992213978195,0.003185480410035358,315.049922139782,3.1854804100353338
SCAFFOLD,minimum_recall,16,5,0.5664217710494995,0.003235996756104513,0.803055594850757,0.003313671850179016,0.6796876431254008,0.0033494661184854803,0.32031235687459925,0.0033494661184854807,320.31235687459923,3.3494661184854757
SCAFFOLD,minimum_recall,32,5,0.5586028933525086,0.006046478491676091,0.8024331588626396,0.0028671950341283216,0.6764953741870477,0.005780291005876493,0.32350462581295225,0.005780291005876499,323.5046258129523,5.780291005876498
SCAFFOLD,minimum_recall,64,5,0.5555466055870056,0.009898917333464987,0.8009053614372613,0.0025806771539943736,0.6753228909040946,0.0029778449511802235,0.3246771090959054,0.0029778449511802256,324.6771090959055,2.9778449511802214
SCAFFOLD,minimum_recall,128,5,0.5549703717231751,0.009157172543449053,0.7973970858678738,0.0014440288759569844,0.6782586791243015,0.0031460471140070303,0.3217413208756984,0.003146047114007056,321.7413208756984,3.14604711400703
SCAFFOLD,minimum_recall,256,5,0.5521077871322632,0.009666061494014284,0.8043570519168199,0.002602683476159848,0.6716726206833379,0.007898258341522241,0.32832737931666206,0.007898258341522238,328.3273793166621,7.898258341522238
SCAFFOLD,minimum_recall,512,5,0.5547534942626953,0.00337277746190773,0.8006507285330315,0.004781984146985574,0.6748923696986352,0.005077244272820712,0.3251076303013648,0.005077244272820691,325.10763030136485,5.077244272820708
SCAFFOLD,minimum_recall,1024,5,0.5496044158935547,0.010119745401623168,0.8006507285330315,0.002111067534243099,0.6750709901987726,0.004227931121377035,0.3249290098012274,0.0042279311213770255,324.9290098012274,4.2279311213770425
SCAFFOLD,minimum_recall,2048,5,0.545118510723114,0.006617660988356706,0.798981468383081,0.001568897511162745,0.6720207016579647,0.003234928907194421,0.3279792983420353,0.0032349289071944365,327.97929834203535,3.2349289071944245
SCAFFOLD,minimum_recall,4096,5,0.5331682205200196,0.007303617679198876,0.7987268354788514,0.003634793797879448,0.6781533388293488,0.0038590379233762392,0.32184666117065125,0.0038590379233762275,321.8466611706512,3.8590379233762455
SCAFFOLD,minimum_recall,8192,5,0.5146866321563721,0.008280097752979191,0.799801952185599,0.004230184904333152,0.6759503526609875,0.0026080247531394454,0.3240496473390125,0.0026080247531394527,324.04964733901255,2.608024753139436
SCAFFOLD,minimum_recall,16384,5,0.4648806989192963,0.011325474782591823,0.8027160843117839,0.002594211928833124,0.6691536136301182,0.003872772561581602,0.33084638636988184,0.0038727725615815933,330.8463863698819,3.872772561581589
