strategy,threshold_regime,scaling_point,n_runs,selected_threshold_mean,selected_threshold_std,test_mcc_mean,test_mcc_std,test_recall_mean,test_recall_std,test_specificity_mean,test_specificity_std
SCAFFOLD,mcc_optimal,2,5,0.7045433998107911,0.0321781050217314,0.36385006124823605,0.0014449023421358152,0.6525109633611544,0.05117643554345667,0.805725016030045,0.0320883858498081
SCAFFOLD,mcc_optimal,4,5,0.6913793087005615,0.02261747381687188,0.35844730684091625,0.001756310764116343,0.6653557787522988,0.02835023824843793,0.7938032426490794,0.01869672365782635
SCAFFOLD,mcc_optimal,8,5,0.6822629928588867,0.03849003392436244,0.3560605471491926,0.002504433597195589,0.669260149950488,0.05741060373900143,0.7881744068883394,0.03797661668862589
SCAFFOLD,mcc_optimal,16,5,0.6986555933952332,0.013273042975355349,0.3548153686231842,0.004375076389113842,0.639807610694582,0.024995586779934718,0.8067829989923971,0.013826306990674908
SCAFFOLD,mcc_optimal,32,5,0.6968073010444641,0.011081618794844606,0.3475975414649906,0.003025024761165434,0.6152779742537842,0.01701015000780354,0.8158193642942202,0.010407725180716181
SCAFFOLD,mcc_optimal,64,5,0.6743318796157837,0.028206025510427505,0.3482531456209748,0.0026114244570335835,0.6432593011741405,0.036910577059060784,0.7987771365759824,0.021916348412513175
SCAFFOLD,mcc_optimal,128,5,0.6598862648010254,0.01571499056591915,0.34787253985723054,0.0035228413057283034,0.6605460461168482,0.029812677672068858,0.7875698451955666,0.01759760489639091
SCAFFOLD,mcc_optimal,256,5,0.6497722864151001,0.01996868336985855,0.34659047245894586,0.0061654968593472135,0.6781723015985288,0.020898215094207806,0.7748969497114593,0.014485312424014199
SCAFFOLD,mcc_optimal,512,5,0.6669495344161988,0.029395251096497054,0.3476933950976976,0.004994464594822389,0.6499363417739425,0.0426525480491196,0.7938994229183842,0.02522973968073571
SCAFFOLD,mcc_optimal,1024,5,0.6427967071533203,0.015148228272190936,0.3477306449742086,0.003163363203541549,0.6851605601923894,0.02320260379013238,0.7712558395163507,0.015888002763889436
SCAFFOLD,mcc_optimal,2048,5,0.6559357523918152,0.011246506569999929,0.34716541316892674,0.0025625187650430924,0.6535294949780732,0.020788379364556943,0.7914903361729413,0.01516064150728731
SCAFFOLD,mcc_optimal,4096,5,0.6342574834823609,0.004461428105226881,0.3482474643847723,0.004119724784930488,0.673956712406281,0.012553730882964948,0.7793807822661902,0.006609813036431222
SCAFFOLD,mcc_optimal,8192,5,0.6415672302246094,0.03357644087947644,0.3460534618801435,0.0050288202675474875,0.632508134106663,0.045814423827714154,0.803315929284602,0.027979199566825874
SCAFFOLD,mcc_optimal,16384,5,0.5752304553985595,0.02656455150872045,0.34427820598247827,0.00411267560923768,0.6613099448295374,0.0310234882871417,0.7837684345516167,0.019278770937166498
