strategy,scaling_point,n_runs,ap_fraction,first_round_reaching_fraction_mean,first_round_reaching_fraction_std,first_round_reaching_fraction_min,first_round_reaching_fraction_max,late_mean_test_ap_mean,late_mean_test_ap_std,late_test_ap_slope_per_round_mean,late_test_ap_slope_per_round_std,late_test_ap_slope_per_round_min,late_test_ap_slope_per_round_max
SCAFFOLD,2,5,0.99,55.0,1.8708286933869707,52.0,57.0,0.40769809063137696,0.004557320534852792,0.00015556410016964002,1.3036725410980683e-05,0.0001411813563985,0.0001698200641587
SCAFFOLD,4,5,0.99,48.8,7.5960516059331775,40.0,59.0,0.4012954961322759,0.002362389379514233,0.0001160254921431383,3.9259952132932445e-05,6.78318423946914e-05,0.0001746633002287
SCAFFOLD,8,5,0.99,48.8,4.147288270665544,45.0,55.0,0.3943814176655773,0.006265595824398282,9.919040561102963e-05,2.104280186975747e-05,7.784785329774705e-05,0.0001233952289297
SCAFFOLD,16,5,0.99,48.2,7.155417527999327,38.0,56.0,0.39694480043907127,0.007514035830083259,8.802342790757204e-05,3.4828416101947995e-05,4.7878758787783546e-05,0.0001296650094514
SCAFFOLD,32,5,0.99,55.4,5.683308895353129,47.0,62.0,0.3879929785785111,0.003478745840408883,0.0001310901004136364,4.2375663658889495e-05,8.614146653483904e-05,0.0001889970243696
SCAFFOLD,64,5,0.99,60.6,4.219004621945797,55.0,66.0,0.3907166964354861,0.0018155025399520493,0.00018318410472968003,4.8679630177873906e-05,0.0001369409095521,0.0002593267374778
SCAFFOLD,128,5,0.99,61.8,5.167204273105526,55.0,69.0,0.38496557679586957,0.006639124481634752,0.00019821230729524,7.997839308273868e-05,0.0001095272311043,0.0003222821542091
SCAFFOLD,256,5,0.99,64.2,1.9235384061671343,62.0,67.0,0.38626631827873426,0.006413961718771982,0.00021570189338935997,3.1412244118639e-05,0.0001776530993433,0.0002597498890969
SCAFFOLD,512,5,0.99,62.0,2.9154759474226504,58.0,66.0,0.38965103481582763,0.001823563461426217,0.00019058187224782,3.765095840027351e-05,0.0001414837204241,0.000246040499322
SCAFFOLD,1024,5,0.99,60.4,4.33589667773576,55.0,67.0,0.38869867995398694,0.005081356065273237,0.0001808644002082,5.568349405103199e-05,0.0001266145791715,0.0002748477858546
SCAFFOLD,2048,5,0.99,60.2,2.6832815729997477,57.0,63.0,0.38796121981590076,0.005554202783653615,0.00016957970686166,2.582540720744115e-05,0.0001407729152906,0.0001996347729887
SCAFFOLD,4096,5,0.99,55.6,9.126883367283709,43.0,68.0,0.3893902862030997,0.005221659802461624,0.00014934236225141805,9.136950838981863e-05,6.191382817373784e-05,0.0003014890364417
SCAFFOLD,8192,5,0.99,63.0,2.449489742783178,60.0,66.0,0.38576445580875734,0.0016329392501002612,0.00020447142280491997,4.002772806545447e-05,0.0001476245059007,0.0002515997576727
SCAFFOLD,16384,5,0.99,68.0,4.47213595499958,60.0,70.0,0.3889873467013321,0.0033894328946076943,0.0002263797697981,7.377784309641164e-05,0.0001408778306938,0.0003332620718284
