scaling_point,run,round,roc_auc,pr_auc,loss,n_samples
2,1,1,0.692590,0.260354,0.687081,25368
2,1,2,0.788911,0.363575,0.558899,25368
2,1,3,0.801286,0.368673,0.531951,25368
2,1,4,0.809818,0.385930,0.519308,25368
2,1,5,0.810640,0.385400,0.518008,25368
2,1,6,0.816130,0.395816,0.507824,25368
2,1,7,0.817138,0.393917,0.503020,25368
2,1,8,0.820434,0.405321,0.502444,25368
2,1,9,0.820105,0.401080,0.503289,25368
2,1,10,0.821193,0.403374,0.499350,25368
2,1,11,0.822871,0.408297,0.494577,25368
2,1,12,0.824800,0.416062,0.495713,25368
2,1,13,0.824289,0.411416,0.492746,25368
2,1,14,0.826072,0.417445,0.493405,25368
2,1,15,0.825913,0.417033,0.491907,25368
2,1,16,0.825771,0.415399,0.493443,25368
2,1,17,0.825858,0.416707,0.491022,25368
2,1,18,0.826804,0.419654,0.489977,25368
2,1,19,0.826262,0.417686,0.490082,25368
2,1,20,0.826915,0.419248,0.489907,25368
2,1,21,0.825663,0.415472,0.492020,25368
2,1,22,0.828200,0.423872,0.490097,25368
2,1,23,0.827554,0.421607,0.490247,25368
2,1,24,0.827152,0.419147,0.489469,25368
2,1,25,0.827502,0.422661,0.489793,25368
2,1,26,0.826685,0.417421,0.490201,25368
2,1,27,0.827439,0.422210,0.489467,25368
2,1,28,0.828120,0.422909,0.488692,25368
2,1,29,0.828313,0.421054,0.489924,25368
2,1,30,0.828303,0.422640,0.487950,25368
2,1,31,0.828823,0.425561,0.489562,25368
2,1,32,0.826897,0.416784,0.489441,25368
2,1,33,0.829440,0.426707,0.488393,25368
2,1,34,0.828909,0.425361,0.487761,25368
2,1,35,0.828513,0.420284,0.488022,25368
2,1,36,0.828468,0.422543,0.489333,25368
2,1,37,0.828918,0.422949,0.487248,25368
2,1,38,0.829090,0.424409,0.487243,25368
2,1,39,0.828785,0.424841,0.487316,25368
2,1,40,0.829157,0.424782,0.487540,25368
2,1,41,0.829036,0.426053,0.488720,25368
2,1,42,0.829432,0.426476,0.487066,25368
2,1,43,0.828876,0.422803,0.487497,25368
2,1,44,0.828989,0.427287,0.488507,25368
2,1,45,0.829624,0.427499,0.486715,25368
2,1,46,0.829215,0.426904,0.488251,25368
2,1,47,0.828801,0.422911,0.488305,25368
2,1,48,0.829431,0.425839,0.487239,25368
2,1,49,0.829735,0.428047,0.486764,25368
2,1,50,0.828321,0.421593,0.488818,25368
2,1,51,0.829183,0.427136,0.489770,25368
2,1,52,0.828283,0.421635,0.487994,25368
2,1,53,0.829066,0.427798,0.487824,25368
2,1,54,0.829499,0.425796,0.486869,25368
2,1,55,0.829359,0.424947,0.487333,25368
2,1,56,0.829604,0.428552,0.486614,25368
2,1,57,0.828095,0.420366,0.488491,25368
