scaling_point,run,round,roc_auc,pr_auc,loss,n_samples
16384,1,1,0.685566,0.243515,0.671647,25368
16384,1,10,0.787334,0.346519,0.608374,25368
16384,1,20,0.795555,0.361214,0.575742,25368
16384,1,30,0.800513,0.370113,0.557800,25368
16384,1,40,0.804315,0.377400,0.546237,25368
16384,1,50,0.807334,0.383368,0.538252,25368
16384,1,60,0.809760,0.388378,0.532424,25368
16384,1,70,0.811712,0.392443,0.528086,25368
16384,1,71,0.811892,0.392830,0.527704,25368
16384,1,72,0.812062,0.393134,0.527346,25368
16384,1,73,0.812226,0.393425,0.526994,25368
16384,1,74,0.812386,0.393759,0.526662,25368
16384,1,75,0.812540,0.394091,0.526342,25368
16384,1,76,0.812691,0.394369,0.526034,25368
16384,1,77,0.812849,0.394685,0.525704,25368
16384,1,78,0.812996,0.395017,0.525390,25368
16384,1,79,0.813137,0.395279,0.525094,25368
16384,1,80,0.813283,0.395552,0.524798,25368
16384,2,1,0.642837,0.215666,0.687485,25368
16384,2,10,0.800106,0.384372,0.584530,25368
16384,2,20,0.804207,0.390069,0.552786,25368
16384,2,30,0.806582,0.393269,0.539840,25368
16384,2,40,0.808409,0.395818,0.533527,25368
16384,2,50,0.809867,0.397693,0.529894,25368
16384,2,60,0.811122,0.399258,0.527419,25368
16384,2,70,0.812199,0.400636,0.525577,25368
16384,2,71,0.812294,0.400757,0.525428,25368
16384,2,72,0.812385,0.400857,0.525283,25368
16384,2,73,0.812481,0.400954,0.525124,25368
16384,2,74,0.812571,0.401065,0.524985,25368
16384,2,75,0.812664,0.401167,0.524827,25368
16384,2,76,0.812752,0.401282,0.524693,25368
16384,2,77,0.812837,0.401391,0.524556,25368
16384,2,78,0.812934,0.401524,0.524406,25368
16384,2,79,0.813017,0.401620,0.524282,25368
16384,2,80,0.813112,0.401746,0.524140,25368
16384,3,1,0.657387,0.220861,0.669848,25368
16384,3,10,0.786657,0.351896,0.603016,25368
16384,3,20,0.796735,0.369679,0.569325,25368
16384,3,30,0.801059,0.377737,0.551236,25368
16384,3,40,0.803990,0.383093,0.540883,25368
16384,3,50,0.806253,0.386944,0.534592,25368
16384,3,60,0.808085,0.389948,0.530465,25368
16384,3,70,0.809556,0.392027,0.527651,25368
16384,3,71,0.809691,0.392275,0.527404,25368
16384,3,72,0.809818,0.392455,0.527187,25368
16384,3,73,0.809945,0.392628,0.526964,25368
16384,3,74,0.810072,0.392812,0.526739,25368
16384,3,75,0.810185,0.392961,0.526542,25368
16384,3,76,0.810327,0.393140,0.526308,25368
16384,3,77,0.810456,0.393320,0.526096,25368
16384,3,78,0.810568,0.393482,0.525911,25368
16384,3,79,0.810685,0.393659,0.525723,25368
16384,3,80,0.810797,0.393782,0.525546,25368
16384,4,1,0.663730,0.244610,0.675554,25368
16384,4,10,0.787586,0.360696,0.592789,25368
16384,4,20,0.794084,0.370802,0.566151,25368
16384,4,30,0.798455,0.377922,0.554002,25368
16384,4,40,0.801862,0.384071,0.546628,25368
16384,4,50,0.804606,0.388727,0.541373,25368
16384,4,60,0.806807,0.392557,0.537404,25368
16384,4,70,0.808604,0.395574,0.534218,25368
16384,4,71,0.808761,0.395828,0.533943,25368
16384,4,72,0.808933,0.396131,0.533627,25368
16384,4,73,0.809084,0.396350,0.533360,25368
16384,4,74,0.809232,0.396613,0.533101,25368
16384,4,75,0.809394,0.396899,0.532810,25368
16384,4,76,0.809549,0.397073,0.532546,25368
16384,4,77,0.809708,0.397324,0.532256,25368
16384,4,78,0.809857,0.397593,0.532005,25368
16384,4,79,0.810012,0.397850,0.531739,25368
16384,4,80,0.810157,0.398101,0.531491,25368
16384,5,1,0.666116,0.241030,0.666299,25368
16384,5,10,0.792229,0.365022,0.582638,25368
16384,5,20,0.800327,0.377170,0.554983,25368
16384,5,30,0.803784,0.383013,0.543367,25368
16384,5,40,0.806087,0.387266,0.537006,25368
16384,5,50,0.807844,0.390532,0.532944,25368
16384,5,60,0.809185,0.393034,0.530102,25368
16384,5,70,0.810346,0.395161,0.527827,25368
16384,5,71,0.810447,0.395368,0.527628,25368
16384,5,72,0.810552,0.395553,0.527428,25368
16384,5,73,0.810647,0.395718,0.527243,25368
16384,5,74,0.810756,0.395944,0.527039,25368
16384,5,75,0.810850,0.396081,0.526870,25368
16384,5,76,0.810947,0.396243,0.526694,25368
16384,5,77,0.811040,0.396410,0.526520,25368
16384,5,78,0.811131,0.396561,0.526354,25368
16384,5,79,0.811216,0.396687,0.526196,25368
16384,5,80,0.811317,0.396866,0.526020,25368
