strategy,threshold_regime,scaling_point,n_runs,selected_threshold_mean,selected_threshold_std,selected_threshold_min,selected_threshold_max,test_mcc_mean,test_mcc_std,test_mcc_min,test_mcc_max,test_recall_mean,test_recall_std,test_recall_min,test_recall_max,test_specificity_mean,test_specificity_std,test_specificity_min,test_specificity_max,validation_mcc_mean,validation_mcc_std,validation_mcc_min,validation_mcc_max,validation_recall_mean,validation_recall_std,validation_recall_min,validation_recall_max,validation_specificity_mean,validation_specificity_std,validation_specificity_min,validation_specificity_max,test_precision_mean,test_precision_std,test_precision_min,test_precision_max,test_f1_mean,test_f1_std,test_f1_min,test_f1_max,test_balanced_accuracy_mean,test_balanced_accuracy_std,test_balanced_accuracy_min,test_balanced_accuracy_max,test_false_positive_rate_mean,test_false_positive_rate_std,test_false_positive_rate_min,test_false_positive_rate_max,test_false_positives_per_1000_negatives_mean,test_false_positives_per_1000_negatives_std,test_false_positives_per_1000_negatives_min,test_false_positives_per_1000_negatives_max
FedProx,mcc_optimal,2,5,0.7451138377189637,0.015598821782379906,0.7297245860099792,0.7698737978935242,0.3678386775658973,0.001923915417721216,0.3653988948102357,0.370071227190854,0.6102419012590181,0.02487480323616246,0.5866459188003961,0.6442212477012307,0.8346661170651279,0.013079469402723122,0.8159521846661171,0.8468672712283595,0.3810801180681306,0.0034460095093214018,0.3764763970224335,0.3846173480223976,0.6194059405940594,0.025053014816035883,0.5985855728429986,0.6568599717114568,0.8394448770210232,0.01290422749311106,0.8208674941602162,0.8523794256400861,0.37447288585759364,0.008766907494711302,0.36168691922802,0.3827764445264907,0.4637758781222846,0.0011254880919227246,0.4624398872367475,0.4650992302455883,0.722454009162073,0.00593688703877836,0.7167565950143777,0.7300867161836739,0.16533388293487214,0.013079469402723124,0.1531327287716405,0.1840478153338829,165.33388293487218,13.079469402723133,153.13272877164053,184.04781533388297
FedProx,mcc_optimal,4,5,0.7346866488456726,0.024721147242311763,0.7102178335189819,0.767267107963562,0.3674218266187349,0.0018822903585994672,0.3647346343275645,0.3700567061443411,0.6219833073985005,0.03918356598180898,0.576884990804923,0.6619040882727402,0.8273197764953741,0.021463686604297646,0.806242557479161,0.8529128881560868,0.3760458361610104,0.0028643577021346665,0.371702505661958,0.3787724654868633,0.6241584158415842,0.04122787067835112,0.5770862800565771,0.6633663366336634,0.8327027893555627,0.021396861730354003,0.812577291256355,0.8580589016626208,0.3695229570131889,0.014815061045050617,0.3560882800608828,0.3883439672412151,0.46268772019351384,0.00103550537184919,0.4615076984603079,0.4642003414911781,0.7246515419469374,0.008879567827759581,0.7148989394805049,0.7340733228759506,0.1726802235046258,0.021463686604297632,0.1470871118439132,0.193757442520839,172.68022350462584,21.463686604297642,147.08711184391322,193.75744252083905
FedProx,mcc_optimal,8,5,0.711932110786438,0.025249507852629777,0.6748619675636292,0.7356060147285461,0.36294678636829575,0.0008353331874505855,0.3618386982162018,0.364172342662638,0.645664167491866,0.044070395500555755,0.6111189701513651,0.7087282501060971,0.8094531464688103,0.027282874407409605,0.7700375561051571,0.8306769258953925,0.37572276834474067,0.0038102860616958463,0.3711871185563389,0.3798111916583888,0.6544837340876946,0.0426967744729531,0.6152758132956153,0.7154172560113154,0.8146200705354281,0.0268678488958406,0.7757981037878441,0.8345165575046948,0.35574592584957065,0.01630767152687245,0.3328461334041988,0.368789482670309,0.45765969034106346,0.0031923471453078425,0.4529632475927851,0.4605684863132454,0.7275586569803381,0.008409333115930088,0.7208462341779152,0.7393829031056272,0.19054685353118983,0.027282874407409587,0.1693230741046074,0.2299624438948428,190.54685353118987,27.282874407409604,169.32307410460746,229.9624438948429
FedProx,mcc_optimal,16,5,0.6991792321205139,0.02905282796647032,0.671056866645813,0.743622362613678,0.3590322345608432,0.0012028746098300986,0.357823279615183,0.3607667037278394,0.6624133540811996,0.03815464990607333,0.6012165794313199,0.6957136794454661,0.7959466886507283,0.02367703068310261,0.7743198680956307,0.8328982321150499,0.3701628107367185,0.0028296787723984854,0.3668436338138054,0.3746651972169162,0.667043847241867,0.03682186125848196,0.6070721357850071,0.7018387553041019,0.802619887326524,0.02292104203172709,0.7805615352906151,0.8383639444877021,0.3455785911105968,0.014315614511021528,0.3329046232992622,0.3680609682168528,0.4533838801796194,0.0028337984861662837,0.4503250618075268,0.4565964761495488,0.7291800213659638,0.007291422697451439,0.7170574057731849,0.7350167737705484,0.20405331134927174,0.023677030683102604,0.1671017678849501,0.2256801319043693,204.05331134927175,23.67703068310261,167.10176788495014,225.68013190436932
FedProx,mcc_optimal,32,5,0.6325736045837402,0.1558007192610568,0.3554819226264953,0.729727029800415,0.3486969145662017,0.003052881152453468,0.3460568746810577,0.3526036865024459,0.6552836327627671,0.026449255008488732,0.6111189701513651,0.6811430188145424,0.7916094165063663,0.018423105142804666,0.7726023632866172,0.8214940001832005,0.36095824430492046,0.007082665635424146,0.3493277883768539,0.3687236023898366,0.6613295615275814,0.02516281416096743,0.6178217821782178,0.6789250353606789,0.79848852654239,0.01788254638142693,0.7778592039573123,0.8260431456968809,0.33798582075063904,0.0115275624829978,0.3265513733468972,0.3565827486586875,0.4455083271698138,0.003823901020463342,0.4414596130925094,0.4503753127606338,0.7234465246345666,0.004233161320051163,0.7163064851672828,0.7268726910505798,0.20839058349363376,0.01842310514280465,0.1785059998167995,0.2273976367133827,208.39058349363376,18.423105142804665,178.5059998167995,227.39763671338275
FedProx,mcc_optimal,64,5,0.6984179854393006,0.032038145219745705,0.6695119738578796,0.7435513734817505,0.35030964247780066,0.0033321245671791002,0.3463130686683519,0.3544597771883823,0.6549441222237941,0.05731810548047571,0.5740557363134814,0.7051916819917952,0.7925712191994138,0.03361918551443641,0.7624347348172575,0.8391499496198589,0.3610503110359213,0.004039017227133813,0.3552697686400142,0.3661155648357922,0.660990099009901,0.05324471964478123,0.5898161244695899,0.7072135785007072,0.7980305042825081,0.032912470604917594,0.7701644299912975,0.8449594650300004,0.3402161145626677,0.018062528902954074,0.3243597301368965,0.3661793900018047,0.44618923291133167,0.002159181209802387,0.4434097421203438,0.4487083489329839,0.7237576707116038,0.01192526614570239,0.7066028429666702,0.7338132084045264,0.20742878080058622,0.0336191855144364,0.1608500503801411,0.2375652651827424,207.42878080058625,33.61918551443642,160.8500503801411,237.56526518274245
FedProx,mcc_optimal,128,5,0.6761372089385986,0.03250118068145297,0.6354466676712036,0.7089589834213257,0.35126269523686576,0.002578495267995914,0.3487077183776964,0.3553072215395584,0.6812844815391144,0.045287408340104036,0.6326213042863206,0.7398500495119535,0.7764449940459833,0.031719140779518366,0.7342905560135569,0.8117614729321242,0.36404017220445767,0.0044727928671767165,0.3588538793912967,0.369745997750781,0.6893917963224894,0.04834320835308461,0.6333804809052334,0.7465346534653465,0.7827875234736409,0.031784411740538435,0.742225072138506,0.8176613383410434,0.3318943911503032,0.016526801634810084,0.3106992217667677,0.3523479357075323,0.4452953068372298,0.005583932365084382,0.4376202828215212,0.4526086736501189,0.7288647377925489,0.006857777197092401,0.7221913886092224,0.7370703027627552,0.22355500595401664,0.03171914077951835,0.1882385270678758,0.2657094439864431,223.55500595401662,31.719140779518376,188.2385270678758,265.70944398644315
FedProx,mcc_optimal,256,5,0.6434939563274383,0.10338488769247936,0.4670514166355133,0.7185571193695068,0.3471756298639469,0.004614220695165496,0.3405088521050106,0.3508773720453637,0.6566133823737446,0.05150414772221822,0.6159287027868157,0.7418305276559627,0.7886461482092149,0.035439370068361495,0.7281533388293487,0.8175322890904094,0.3603690121289508,0.003923236703947544,0.357173827017429,0.3647890632389479,0.6647807637906648,0.05145210870786666,0.6240452616690241,0.751909476661952,0.7950258782576834,0.035077619148796924,0.7351257271103375,0.821325516420098,0.3365770154141636,0.017891690383982865,0.3063978965819456,0.3537188741990429,0.4437089102689753,0.006392252783728711,0.4336751571286801,0.4496339828848334,0.7226297652914797,0.008489117820932564,0.7127916849099416,0.7349919332426558,0.21135385179078497,0.035439370068361495,0.1824677109095905,0.2718466611706512,211.35385179078503,35.4393700683615,182.46771090959055,271.84666117065126
FedProx,mcc_optimal,512,5,0.6940200924873352,0.04214972502232508,0.6385380029678345,0.7432970404624939,0.35215963332899763,0.00288871376396391,0.3471490825169077,0.354091642772368,0.6559060687508842,0.0565241927227251,0.586504456075824,0.7275427924741831,0.7932215810204268,0.03798579017244627,0.7415498763396537,0.8372721443620043,0.36288455851943113,0.003911920398586676,0.3559629407986984,0.3655798271040919,0.662065063649222,0.05691328680465487,0.5909476661951909,0.7335219236209335,0.7985618101039711,0.03823961988314187,0.7462098657994779,0.8431731782164613,0.3419294577963935,0.022051514179502674,0.3130440075476292,0.3684678279416992,0.44767677667186556,0.006090597263034821,0.4377393820750702,0.4525953823481251,0.7245638248856554,0.00945356170299252,0.7118883002189141,0.7345463344069184,0.20677841897957308,0.03798579017244627,0.1627278556379957,0.2584501236603462,206.77841897957313,37.985790172446286,162.72785563799573,258.45012366034626
FedProx,mcc_optimal,1024,5,0.6765053033828735,0.024317513536103487,0.6521395444869995,0.7034011483192444,0.35189624613557,0.0013596682480100997,0.3504950468881794,0.3540200524840337,0.6726552553402179,0.031049215116607982,0.6388456641674919,0.7043429056443627,0.7832325730512045,0.02013121048897418,0.7621141339195749,0.8054410552349547,0.3617668309539598,0.002694429778184027,0.3595867301564614,0.3652718401878788,0.6774540311173973,0.03343641180027382,0.6427157001414427,0.7134370579915135,0.7890257866532313,0.019295363976995036,0.7690651765675812,0.8092337287592177,0.3350202529825678,0.010554332824604936,0.3240059868549489,0.3470642483861051,0.44679400139879694,0.002683505354409397,0.4438402567302549,0.4497783974901648,0.7279439141957111,0.005525787896957026,0.7218478698301396,0.7332285197819688,0.21676742694879544,0.020131210488974167,0.1945589447650453,0.237885866080425,216.7674269487955,20.131210488974183,194.5589447650453,237.88586608042505
