strategy,scaling_point,run,n_evaluated_checkpoints,first_evaluated_round,final_evaluated_round,best_test_ap,best_test_ap_round,ap_fraction,ap_fraction_threshold,first_round_reaching_fraction,test_ap_at_first_fraction_round,rounds_from_fraction_to_end,late_window_start_round,late_window_end_round,late_window_expected_rounds,late_window_observed_rounds,late_window_complete,late_window_missing_rounds,late_mean_test_ap,late_test_ap_slope_per_round,late_fitted_ap_change,late_test_ap_std,final_round_test_ap
FedProx,2,1,80,1,80,0.4256703449802172,72,0.99,0.42141364153041505,33,0.42245005333592933,47,70,80,11,11,True,,0.4251015844521651,5.056135000842278e-05,0.0005056135000842121,0.000441636213241845,0.42518197675220837
FedProx,2,2,80,1,80,0.4254166134582002,41,0.99,0.4211624473236182,23,0.42122666069051456,57,70,80,11,11,True,,0.42425436964397245,9.112920365605487e-05,0.0009112920365605404,0.00044339399316775544,0.4244581693290887
FedProx,2,3,80,1,80,0.4281091772115515,78,0.99,0.423828085439436,27,0.42413412071164225,53,70,80,11,11,True,,0.42761364627145554,0.00011028291687672843,0.0011028291687673053,0.00039088983175162987,0.4280657411934052
FedProx,2,4,80,1,80,0.4253173202415716,76,0.99,0.4210641470391559,25,0.4216763833446862,55,70,80,11,11,True,,0.42451653335678513,4.159840892397524e-05,0.0004159840892397626,0.00040463344195768676,0.4247703565001251
FedProx,2,5,80,1,80,0.42402176379646717,73,0.99,0.4197815461585025,34,0.4200828579449133,46,70,80,11,11,True,,0.4234822523762754,4.5161042217926546e-05,0.0004516104221792827,0.0004928430850221154,0.42372839576437443
FedProx,4,1,80,1,80,0.4232448772060314,80,0.99,0.4190124284339711,46,0.41959458110503817,34,70,80,11,11,True,,0.42247276316269483,0.000201744747988491,0.002017447479884915,0.000770259507303603,0.4232448772060314
FedProx,4,2,80,1,80,0.41987810951116417,76,0.99,0.41567932841605254,46,0.4157198081588036,34,70,80,11,11,True,,0.41945658107046346,4.9979553953499266e-05,0.0004997955395349973,0.00028859803252123705,0.4195461192920371
FedProx,4,3,80,1,80,0.4221915970406195,76,0.99,0.41796968107021326,48,0.41892806996541065,32,70,80,11,11,True,,0.4219053054923934,4.445236271971366e-05,0.00044452362719715754,0.0002313031384207149,0.4221555144637555
FedProx,4,4,80,1,80,0.41864075713956794,78,0.99,0.4144543495681723,41,0.41465320755243673,39,70,80,11,11,True,,0.4182580009874188,6.621475675910005e-05,0.0006621475675910315,0.0002903332039716394,0.4183636446665862
FedProx,4,5,80,1,80,0.42329891945545717,80,0.99,0.4190659302609026,41,0.4191070348985889,39,70,80,11,11,True,,0.42283521194075996,0.00011026461304676838,0.0011026461304676771,0.0004401878579478171,0.42329891945545717
FedProx,8,1,80,1,80,0.4190204396136949,80,0.99,0.41483023521755796,46,0.4148387338518299,34,70,80,11,11,True,,0.41861469711103505,6.30969501604408e-05,0.0006309695016044059,0.00024482541350083384,0.4190204396136949
