strategy,scaling_point,n_runs,first_round_reaching_fraction_mean,first_round_reaching_fraction_std,first_round_reaching_fraction_min,first_round_reaching_fraction_max,best_test_ap_mean,best_test_ap_std,late_mean_test_ap_mean,late_mean_test_ap_std,late_test_ap_slope_per_round_mean,late_test_ap_slope_per_round_std,late_test_ap_slope_per_round_min,late_test_ap_slope_per_round_max,late_fitted_ap_change_mean,late_fitted_ap_change_std,complete_late_windows
FedProx,2,5,28.4,4.878524367060187,23.0,34.0,0.4257070439376015,0.0014872789462643775,0.4249936772201307,0.001575954378919456,6.774658433662157e-05,3.100505015848652e-05,4.159840892397524e-05,0.00011028291687672843,0.0006774658433662206,0.00031005050158486774,5
FedProx,4,5,44.4,3.209361307176242,41.0,48.0,0.421450852070568,0.0020947992168591236,0.42098557253074614,0.0020159533757728157,9.453120689351447e-05,6.52626333076471e-05,4.445236271971366e-05,0.000201744747988491,0.0009453120689351558,0.0006526263330764645,5
FedProx,8,5,50.0,5.1478150704935,44.0,57.0,0.41594228104135916,0.002997510231240157,0.4155783079274672,0.0030397927640330637,6.40142210553116e-05,1.3061431556134286e-05,4.459872335801328e-05,8.036331205139167e-05,0.0006401422105531074,0.0001306143155613353,5
FedProx,16,5,57.2,1.9235384061671343,55.0,60.0,0.40487891548278904,0.0017737140386284583,0.40424518042181656,0.001774737034806895,0.00010832090918089174,1.724261700899872e-05,8.49253961264219e-05,0.00012291574270199932,0.0010832090918089122,0.00017242617008996972,5
FedProx,32,5,51.4,16.56200470957547,22.0,62.0,0.38978838530787296,0.005094362009820038,0.3893002305870794,0.005214424033011781,0.00010640034374663795,2.6476091504888666e-05,8.116503014186765e-05,0.00014542993813126785,0.0010640034374663875,0.00026476091504886264,5
FedProx,64,5,60.2,3.1144823004794877,55.0,63.0,0.3895944552113072,0.004247567016957916,0.38900634826129554,0.00435045596086877,0.000127152678596464,2.9484420003712186e-05,8.176258919092048e-05,0.00015605662015891016,0.0012715267859646274,0.00029484420003711507,5
FedProx,128,5,55.8,3.63318042491699,52.0,60.0,0.39114212576989016,0.0028530968648241887,0.3906912462365993,0.0029558519735480133,9.96489295892529e-05,2.3478225460522452e-05,7.401372378276556e-05,0.00012734287480230892,0.000996489295892511,0.00023478225460520858,5
FedProx,256,5,50.4,17.770762504743573,20.0,61.0,0.3906711270924409,0.005195875958836127,0.39019488927700874,0.005253631928316022,0.00010713550620146416,2.7129276015485354e-05,6.762147593741422e-05,0.00012883759797351546,0.0010713550620146451,0.0002712927601548561,5
FedProx,512,5,58.8,3.271085446759225,56.0,64.0,0.3923526877268563,0.005258888180144143,0.3917954168754255,0.005412159518801479,0.00012187564920720729,3.827485710334223e-05,8.600450128252969e-05,0.0001842175502007532,0.0012187564920720707,0.0003827485710334236,5
FedProx,1024,5,56.8,4.919349550499537,49.0,61.0,0.395397926641436,0.0032843062313338755,0.394910128941705,0.003395883054031543,0.00010736544541713408,2.5181425025272672e-05,7.147577132515883e-05,0.00013609959716015922,0.0010736544541713466,0.0002518142502527367,5
FedProx,2048,5,59.8,1.3038404810405297,58.0,61.0,0.39053487416703214,0.0035627124159422667,0.39000329963948116,0.0035903830765826607,0.00011467533551720343,1.3400313479217379e-05,0.00010005126082564115,0.00013439443094720354,0.0011467533551720254,0.00013400313479218165,5
FedProx,4096,5,56.0,5.244044240850758,48.0,62.0,0.3942611259838559,0.004466256939648735,0.39378805406653455,0.004596613088516729,0.00010710121723907413,3.490750418618963e-05,5.3267385096226355e-05,0.0001486446726716946,0.0010710121723907396,0.00034907504186188165,5
FedProx,8192,5,61.0,1.7320508075688772,60.0,64.0,0.3912432191534009,0.0017351129459841482,0.39072226135281024,0.0017979836979344814,0.00011363375607724042,2.903527138071996e-05,8.977047090017579e-05,0.00016393707199226823,0.0011363375607724047,0.00029035271380721387,5
FedProx,16384,5,60.4,6.387487769068525,52.0,70.0,0.39499664063398077,0.004678931953393577,0.39449840725602425,0.004817831658724033,0.00011153979272783732,2.7984900025976963e-05,7.452438260494979e-05,0.00015023755791358773,0.0011153979272783832,0.000279849000259772,5
