scaling_point,run,round,roc_auc,pr_auc,loss,n_samples
8,1,1,0.467076,0.137503,0.874064,25368
8,1,2,0.594257,0.191820,0.729059,25368
8,1,3,0.719800,0.281020,0.619923,25368
8,1,4,0.771791,0.336330,0.568071,25368
8,1,5,0.791539,0.361977,0.543965,25368
8,1,6,0.800255,0.375412,0.531836,25368
8,1,7,0.804320,0.382715,0.525149,25368
8,1,8,0.806788,0.387245,0.521378,25368
8,1,9,0.808434,0.389843,0.519477,25368
8,1,10,0.808007,0.390065,0.529796,25368
8,1,11,0.805779,0.389737,0.584256,25368
8,1,12,0.800818,0.388188,0.795855,25368
8,1,13,0.815478,0.399203,0.540135,25368
8,1,14,0.815186,0.396234,0.507957,25368
8,1,15,0.816820,0.399752,0.505419,25368
8,1,16,0.817158,0.399909,0.504302,25368
8,1,17,0.817899,0.401103,0.503081,25368
8,1,18,0.818309,0.401626,0.502367,25368
8,1,19,0.818894,0.402672,0.501714,25368
8,1,20,0.819028,0.403300,0.501609,25368
8,1,21,0.819448,0.403713,0.500575,25368
8,1,22,0.819986,0.404621,0.499948,25368
8,1,23,0.820285,0.405175,0.499374,25368
8,1,24,0.820584,0.405673,0.498917,25368
8,1,25,0.820881,0.406139,0.498651,25368
8,1,26,0.821192,0.406813,0.498166,25368
8,1,27,0.821350,0.407046,0.497840,25368
8,1,28,0.821577,0.407566,0.497505,25368
8,1,29,0.821854,0.408030,0.497185,25368
8,1,30,0.822019,0.408307,0.496889,25368
8,1,31,0.822214,0.408357,0.496929,25368
8,1,32,0.822425,0.409146,0.496312,25368
8,1,33,0.822672,0.409700,0.496073,25368
8,1,34,0.822844,0.409850,0.495843,25368
8,1,35,0.822989,0.410077,0.495629,25368
8,1,36,0.823137,0.410384,0.495446,25368
8,1,37,0.823271,0.410663,0.495169,25368
8,1,38,0.823391,0.410611,0.495222,25368
8,1,39,0.823575,0.411087,0.494755,25368
8,1,40,0.823713,0.411406,0.494692,25368
8,1,41,0.823857,0.411583,0.494451,25368
8,1,42,0.823953,0.411705,0.494261,25368
8,1,43,0.824128,0.412250,0.494650,25368
8,1,44,0.824308,0.412244,0.493873,25368
8,1,45,0.824388,0.412434,0.493957,25368
8,1,46,0.824532,0.412776,0.493676,25368
8,1,47,0.824726,0.413188,0.493384,25368
8,1,48,0.824721,0.413051,0.493333,25368
8,1,49,0.824801,0.413245,0.493224,25368
8,1,50,0.824982,0.413715,0.493048,25368
8,1,51,0.825095,0.413709,0.492896,25368
8,1,52,0.825064,0.413299,0.493167,25368
8,1,53,0.825292,0.414025,0.493056,25368
8,1,54,0.825305,0.414092,0.493012,25368
8,1,55,0.825290,0.413762,0.492551,25368
8,1,56,0.825491,0.414275,0.492339,25368
8,1,57,0.825481,0.414184,0.492298,25368
8,1,58,0.825683,0.414708,0.492151,25368
8,1,59,0.825762,0.414837,0.492189,25368
8,1,60,0.825834,0.414852,0.491966,25368
8,1,61,0.825914,0.414934,0.491893,25368
8,1,62,0.826073,0.415503,0.491726,25368
8,1,63,0.826067,0.415339,0.491649,25368
8,1,64,0.826051,0.415123,0.491648,25368
8,1,65,0.826177,0.415417,0.491566,25368
8,1,66,0.826313,0.415808,0.491436,25368
8,1,67,0.826275,0.415513,0.491438,25368
8,1,68,0.826350,0.415714,0.491323,25368
8,1,69,0.826409,0.415959,0.491287,25368
8,1,70,0.826393,0.415938,0.491312,25368
8,1,71,0.826320,0.415463,0.491536,25368
8,1,72,0.826456,0.416031,0.491319,25368
8,1,73,0.826402,0.415633,0.491265,25368
8,1,74,0.826478,0.416005,0.491308,25368
8,1,75,0.826393,0.415535,0.491418,25368
8,1,76,0.826515,0.416108,0.491507,25368
8,1,77,0.826477,0.415696,0.491273,25368
8,1,78,0.826557,0.416098,0.491153,25368
8,1,79,0.826540,0.415815,0.491028,25368
8,1,80,0.826608,0.416094,0.490999,25368
8,2,1,0.483483,0.129660,1.098526,25368
8,2,2,0.700429,0.266998,0.748528,25368
8,2,3,0.739293,0.300339,0.649067,25368
8,2,4,0.784232,0.343390,0.605357,25368
8,2,5,0.788162,0.346516,0.565912,25368
8,2,6,0.798662,0.354995,0.541693,25368
8,2,7,0.801426,0.357845,0.526020,25368
8,2,8,0.804013,0.360566,0.520910,25368
8,2,9,0.806880,0.365507,0.517063,25368
8,2,10,0.808830,0.368346,0.514469,25368
8,2,11,0.810843,0.372264,0.512101,25368
8,2,12,0.811638,0.373682,0.510011,25368
8,2,13,0.813579,0.378485,0.507717,25368
8,2,14,0.814573,0.380526,0.508978,25368
8,2,15,0.815655,0.383720,0.511358,25368
8,2,16,0.816624,0.386545,0.511500,25368
8,2,17,0.817123,0.387500,0.511129,25368
8,2,18,0.817927,0.390200,0.511659,25368
8,2,19,0.818413,0.391324,0.512363,25368
8,2,20,0.818919,0.393064,0.513626,25368
8,2,21,0.819416,0.394328,0.514954,25368
8,2,22,0.819885,0.395951,0.511621,25368
8,2,23,0.820384,0.397207,0.509059,25368
8,2,24,0.820544,0.397375,0.507193,25368
8,2,25,0.821177,0.399467,0.503738,25368
8,2,26,0.821498,0.400147,0.502468,25368
8,2,27,0.821942,0.401733,0.501798,25368
8,2,28,0.822064,0.401825,0.500505,25368
8,2,29,0.822120,0.402256,0.504465,25368
8,2,30,0.822682,0.404035,0.500918,25368
8,2,31,0.823119,0.404950,0.497028,25368
8,2,32,0.823457,0.405749,0.493949,25368
8,2,33,0.823643,0.406314,0.493927,25368
8,2,34,0.823839,0.407047,0.493303,25368
8,2,35,0.823970,0.407588,0.493205,25368
8,2,36,0.824313,0.408863,0.492686,25368
8,2,37,0.824526,0.409726,0.492397,25368
8,2,38,0.824707,0.409979,0.492149,25368
8,2,39,0.824750,0.410330,0.492580,25368
8,2,40,0.825005,0.411297,0.492515,25368
8,2,41,0.825055,0.411012,0.492496,25368
8,2,42,0.825334,0.412130,0.491684,25368
8,2,43,0.825357,0.412011,0.491901,25368
8,2,44,0.825482,0.412856,0.492711,25368
8,2,45,0.825573,0.412803,0.491838,25368
8,2,46,0.825745,0.413126,0.491018,25368
8,2,47,0.825817,0.413515,0.491323,25368
8,2,48,0.825942,0.413760,0.491294,25368
8,2,49,0.826105,0.414046,0.490589,25368
8,2,50,0.826091,0.413846,0.490800,25368
8,2,51,0.826328,0.414663,0.490181,25368
8,2,52,0.826388,0.414979,0.490201,25368
8,2,53,0.826365,0.414860,0.490047,25368
8,2,54,0.826500,0.415181,0.489884,25368
8,2,55,0.826627,0.416026,0.489679,25368
8,2,56,0.826690,0.416291,0.489599,25368
8,2,57,0.826612,0.416061,0.490537,25368
8,2,58,0.826810,0.416623,0.489859,25368
8,2,59,0.826983,0.416718,0.489303,25368
8,2,60,0.827018,0.416957,0.489651,25368
8,2,61,0.827092,0.417309,0.489266,25368
8,2,62,0.827203,0.417750,0.489019,25368
8,2,63,0.827206,0.417458,0.489175,25368
8,2,64,0.827368,0.418204,0.488854,25368
8,2,65,0.827435,0.418320,0.488738,25368
8,2,66,0.827318,0.418150,0.489624,25368
8,2,67,0.827555,0.418895,0.488591,25368
8,2,68,0.827619,0.419244,0.488534,25368
8,2,69,0.827640,0.418995,0.488675,25368
8,2,70,0.827660,0.419356,0.488709,25368
8,2,71,0.827719,0.419198,0.488774,25368
8,2,72,0.827771,0.419644,0.488331,25368
8,2,73,0.827784,0.419325,0.488307,25368
8,2,74,0.827781,0.419724,0.488289,25368
8,2,75,0.827839,0.420086,0.488218,25368
8,2,76,0.827817,0.419798,0.488230,25368
8,2,77,0.827820,0.419726,0.488228,25368
8,2,78,0.827890,0.419993,0.488223,25368
8,2,79,0.827893,0.420073,0.488162,25368
8,2,80,0.827937,0.420138,0.488114,25368
8,3,1,0.432947,0.123930,0.963274,25368
8,3,2,0.596190,0.198017,0.752206,25368
8,3,3,0.717345,0.288314,0.622745,25368
8,3,4,0.770712,0.346215,0.571435,25368
8,3,5,0.787963,0.368275,0.547347,25368
8,3,6,0.796650,0.377879,0.535133,25368
8,3,7,0.802647,0.383172,0.526700,25368
8,3,8,0.806269,0.385891,0.520722,25368
8,3,9,0.809190,0.388985,0.516449,25368
8,3,10,0.812349,0.392461,0.513303,25368
8,3,11,0.813357,0.392557,0.509479,25368
8,3,12,0.815163,0.395269,0.517927,25368
