strategy,scaling_point,n_runs,first_round_reaching_fraction_mean,first_round_reaching_fraction_std,first_round_reaching_fraction_min,first_round_reaching_fraction_max,best_test_ap_mean,best_test_ap_std,late_mean_test_ap_mean,late_mean_test_ap_std,late_test_ap_slope_per_round_mean,late_test_ap_slope_per_round_std,late_test_ap_slope_per_round_min,late_test_ap_slope_per_round_max,late_fitted_ap_change_mean,late_fitted_ap_change_std,complete_late_windows
SCAFFOLD,2,5,55.0,1.8708286933869707,52.0,57.0,0.4084712756497259,0.004499130182975543,0.40769809063137696,0.004557320534852772,0.00015556410016969276,1.3036725411006997e-05,0.00014118135639852868,0.00016982006415877267,0.0015556410016969169,0.0001303672541100622,5
SCAFFOLD,4,5,48.8,7.5960516059331775,40.0,59.0,0.4018704027133485,0.0022477781744768433,0.4012954961322759,0.0023623893795142203,0.00011602549214317918,3.9259952132949386e-05,6.78318423946914e-05,0.0001746633002287434,0.0011602549214317914,0.00039259952132947133,5
SCAFFOLD,8,5,48.8,4.147288270665544,45.0,55.0,0.3948686319969875,0.00615315924474455,0.3943814176655773,0.006265595824398303,9.919040561105373e-05,2.1042801869787817e-05,7.784785329774705e-05,0.00012339522892973736,0.0009919040561105596,0.00021042801869787918,5
SCAFFOLD,16,5,48.2,7.155417527999327,38.0,56.0,0.3973762496690455,0.0074142824438814744,0.39694480043907127,0.007514035830083231,8.802342790758231e-05,3.482841610196105e-05,4.7878758787783546e-05,0.00012966500945143134,0.000880234279075831,0.00034828416101961537,5
SCAFFOLD,32,5,55.4,5.683308895353129,47.0,62.0,0.3886167596502126,0.003303822459994593,0.3879929785785111,0.0034787458404088793,0.0001310901004136765,4.237566365892143e-05,8.614146653483904e-05,0.00018899702436966858,0.0013109010041367664,0.0004237566365892062,5
SCAFFOLD,64,5,60.6,4.219004621945797,55.0,66.0,0.39160178849462635,0.0016444397969430616,0.3907166964354862,0.001815502539952045,0.00018318410472971595,4.867963017789572e-05,0.00013694090955212248,0.00025932673747786745,0.001831841047297178,0.00048679630177897313,5
SCAFFOLD,128,5,61.8,5.167204273105526,55.0,69.0,0.38592123402787043,0.006345920081645606,0.38496557679586957,0.006639124481634765,0.0001982123072952857,7.99783930827223e-05,0.00010952723110432252,0.0003222821542091088,0.0019821230729528683,0.0007997839308272216,5
SCAFFOLD,256,5,64.2,1.9235384061671343,62.0,67.0,0.38731229449459814,0.006356541653590958,0.3862663182787343,0.006413961718771975,0.00021570189338939046,3.141224411865077e-05,0.00017765309934330645,0.0002597498890969499,0.002157018933893917,0.0003141224411865088,5
SCAFFOLD,512,5,62.0,2.9154759474226504,58.0,66.0,0.390576295563944,0.0016464990330183357,0.38965103481582763,0.0018235634614262306,0.00019058187224787508,3.765095840025131e-05,0.0001414837204241998,0.0002460404993220431,0.0019058187224787581,0.0003765095840025054,5
SCAFFOLD,1024,5,60.4,4.33589667773576,55.0,67.0,0.38957198081158645,0.004828189235455931,0.388698679953987,0.005081356065273214,0.00018086440020824337,5.56834940510169e-05,0.0001266145791715744,0.000274847785854622,0.0018086440020824378,0.0005568349405101633,5
SCAFFOLD,2048,5,60.2,2.6832815729997477,57.0,63.0,0.38878319025975727,0.005599389832015243,0.3879612198159008,0.0055542027836536344,0.000169579706861735,2.5825407207446372e-05,0.0001407729152906735,0.0001996347729887817,0.001695797068617344,0.00025825407207446215,5
SCAFFOLD,4096,5,55.6,9.126883367283709,43.0,68.0,0.39010740615570116,0.005314784986433262,0.3893902862030997,0.005221659802461652,0.00014934236225144657,9.13695083898521e-05,6.191382817373784e-05,0.00030148903644178313,0.0014934236225144781,0.0009136950838985036,5
SCAFFOLD,8192,5,63.0,2.449489742783178,60.0,66.0,0.38675551140745446,0.001633214984351884,0.38576445580875734,0.0016329392501002724,0.00020447142280494512,4.0027728065446285e-05,0.0001476245059007385,0.00025159975767271935,0.00204471422804946,0.00040027728065446564,5
SCAFFOLD,16384,5,68.0,4.47213595499958,60.0,70.0,0.3900952425145266,0.00345783178986623,0.3889873467013321,0.0033894328946077095,0.00022637976979817542,7.377784309641467e-05,0.00014087783069389187,0.0003332620718284975,0.002263797697981751,0.0007377784309641574,5
