scaling_point,run,round,roc_auc,pr_auc,loss,n_samples
16,1,1,0.618789,0.233869,0.894576,25368
16,1,2,0.703958,0.286126,0.712356,25368
16,1,3,0.751288,0.321784,0.729238,25368
16,1,4,0.775910,0.351374,0.590968,25368
16,1,5,0.793076,0.375236,0.605365,25368
16,1,6,0.802100,0.378991,0.595993,25368
16,1,7,0.804545,0.381885,0.551707,25368
16,1,8,0.797805,0.372636,0.602952,25368
16,1,9,0.807772,0.379236,0.566873,25368
16,1,10,0.811980,0.383990,0.526543,25368
16,1,11,0.809942,0.382567,0.557250,25368
16,1,12,0.816431,0.387258,0.509941,25368
16,1,13,0.815617,0.383525,0.527198,25368
16,1,14,0.817438,0.388006,0.503335,25368
16,1,15,0.817842,0.391674,0.518699,25368
16,1,16,0.819257,0.395059,0.502543,25368
16,1,17,0.818899,0.395346,0.503381,25368
16,1,18,0.819505,0.398659,0.506053,25368
16,1,19,0.822075,0.405732,0.495358,25368
16,1,20,0.823895,0.410331,0.497801,25368
16,1,21,0.824356,0.410639,0.499747,25368
16,1,22,0.824068,0.408670,0.493670,25368
16,1,23,0.823544,0.406547,0.496208,25368
16,1,24,0.823625,0.406182,0.497983,25368
16,1,25,0.824412,0.407647,0.492786,25368
16,1,26,0.825204,0.409524,0.492488,25368
16,1,27,0.825799,0.411418,0.493725,25368
16,1,28,0.826315,0.413218,0.490717,25368
16,1,29,0.826512,0.414238,0.489759,25368
16,1,30,0.826665,0.415113,0.491134,25368
16,1,31,0.827115,0.416778,0.489607,25368
16,1,32,0.827739,0.418669,0.487987,25368
16,1,33,0.828284,0.420483,0.488737,25368
16,1,34,0.828600,0.421651,0.488267,25368
16,1,35,0.828724,0.421951,0.486942,25368
16,1,36,0.828764,0.421995,0.487406,25368
16,1,37,0.828981,0.422476,0.487505,25368
16,1,38,0.829397,0.423510,0.486290,25368
16,1,39,0.829745,0.424100,0.486111,25368
16,1,40,0.829920,0.424180,0.486353,25368
16,1,41,0.829977,0.423860,0.485729,25368
16,1,42,0.829974,0.423583,0.485508,25368
16,1,43,0.830013,0.423510,0.485808,25368
16,1,44,0.830163,0.423720,0.485404,25368
16,1,45,0.830362,0.424078,0.485055,25368
16,2,1,0.491446,0.144239,1.320321,25368
16,2,2,0.613515,0.195687,0.756967,25368
16,2,3,0.715654,0.257425,0.904070,25368
16,2,4,0.764262,0.314577,0.585584,25368
16,2,5,0.783053,0.350485,0.760996,25368
16,2,6,0.796960,0.354959,0.705231,25368
16,2,7,0.802650,0.363701,0.664645,25368
16,2,8,0.800763,0.372749,0.611993,25368
16,2,9,0.803924,0.371191,0.565458,25368
16,2,10,0.806767,0.365651,0.560418,25368
16,2,11,0.804687,0.355933,0.546909,25368
16,2,12,0.804898,0.354850,0.525038,25368
16,2,13,0.807900,0.361173,0.549717,25368
16,2,14,0.814568,0.376421,0.511864,25368
16,2,15,0.814476,0.379989,0.512288,25368
16,2,16,0.815249,0.385009,0.519352,25368
16,2,17,0.817533,0.392446,0.505357,25368
16,2,18,0.819375,0.398801,0.499234,25368
16,2,19,0.820243,0.402806,0.507329,25368
16,2,20,0.820882,0.404809,0.507700,25368
16,2,21,0.821458,0.405373,0.499007,25368
16,2,22,0.821904,0.405424,0.496964,25368
16,2,23,0.822326,0.405718,0.500810,25368
16,2,24,0.822981,0.406462,0.498575,25368
16,2,25,0.823720,0.407964,0.493536,25368
16,2,26,0.824153,0.409427,0.494007,25368
16,2,27,0.824431,0.411177,0.496688,25368
16,2,28,0.824876,0.413183,0.495315,25368
16,2,29,0.825465,0.415210,0.491309,25368
16,2,30,0.825937,0.416688,0.490747,25368
16,2,31,0.826257,0.417830,0.492823,25368
16,2,32,0.826538,0.418990,0.492242,25368
16,2,33,0.826801,0.420104,0.489917,25368
16,2,34,0.827003,0.420847,0.490300,25368
16,2,35,0.827196,0.421633,0.491456,25368
16,2,36,0.827465,0.422446,0.490022,25368
16,2,37,0.827736,0.422988,0.488220,25368
16,2,38,0.827884,0.423385,0.488761,25368
16,2,39,0.828010,0.423725,0.489502,25368
16,2,40,0.828208,0.424435,0.488456,25368
16,2,41,0.828444,0.425265,0.487542,25368
16,2,42,0.828643,0.426033,0.488123,25368
16,2,43,0.828830,0.426523,0.488410,25368
16,2,44,0.828969,0.426641,0.487552,25368
16,2,45,0.829005,0.426395,0.487175,25368
16,3,1,0.423924,0.118584,0.941748,25368
16,3,2,0.580775,0.180153,0.805103,25368
16,3,3,0.703613,0.262013,0.625514,25368
16,3,4,0.781196,0.345187,0.567982,25368
16,3,5,0.799264,0.369129,0.577209,25368
16,3,6,0.807480,0.381061,0.576366,25368
16,3,7,0.809888,0.380532,0.558160,25368
16,3,8,0.806695,0.371278,0.542788,25368
16,3,9,0.798423,0.357659,0.536935,25368
16,3,10,0.803139,0.361749,0.532895,25368
16,3,11,0.793218,0.353739,0.577996,25368
16,3,12,0.794312,0.354089,0.801334,25368
16,3,13,0.807709,0.376376,0.518021,25368
16,3,14,0.806718,0.374884,0.759434,25368
16,3,15,0.809156,0.379610,0.517212,25368
16,3,16,0.804088,0.371390,0.605815,25368
16,3,17,0.807150,0.377201,0.578043,25368
16,3,18,0.813780,0.389215,0.507524,25368
16,3,19,0.816518,0.393991,0.521784,25368
16,3,20,0.815190,0.387872,0.551875,25368
16,3,21,0.814504,0.384492,0.549710,25368
16,3,22,0.815014,0.386722,0.526010,25368
16,3,23,0.815819,0.390732,0.504420,25368
16,3,24,0.816809,0.394809,0.505271,25368
16,3,25,0.817817,0.398101,0.521721,25368
16,3,26,0.819121,0.401080,0.521099,25368
16,3,27,0.820601,0.403875,0.504068,25368
16,3,28,0.821771,0.405917,0.498278,25368
16,3,29,0.822206,0.406374,0.505574,25368
16,3,30,0.822222,0.405989,0.509629,25368
16,3,31,0.822100,0.405954,0.504874,25368
16,3,32,0.822191,0.407447,0.497525,25368
16,3,33,0.822478,0.409498,0.494809,25368
16,3,34,0.822813,0.411257,0.497741,25368
16,3,35,0.823274,0.412881,0.501163,25368
16,3,36,0.823915,0.414518,0.499679,25368
16,3,37,0.824684,0.416485,0.494220,25368
16,3,38,0.825398,0.417975,0.490629,25368
16,3,39,0.825897,0.419050,0.491833,25368
16,3,40,0.826183,0.419768,0.494677,25368
16,3,41,0.826356,0.420298,0.494476,25368
16,3,42,0.826486,0.420771,0.491384,25368
16,3,43,0.826542,0.421127,0.489348,25368
16,3,44,0.826573,0.421412,0.490317,25368
16,3,45,0.826571,0.421554,0.492213,25368
16,4,1,0.475829,0.137521,0.876592,25368
16,4,2,0.634731,0.207704,0.747741,25368
16,4,3,0.741720,0.287389,0.606116,25368
16,4,4,0.782752,0.336329,0.581429,25368
16,4,5,0.800681,0.363719,0.569665,25368
16,4,6,0.805873,0.372443,0.567361,25368
16,4,7,0.808432,0.373693,0.547394,25368
16,4,8,0.802744,0.358019,0.532201,25368
16,4,9,0.791771,0.339021,0.537782,25368
16,4,10,0.787027,0.336331,0.535098,25368
16,4,11,0.811802,0.382081,0.531862,25368
16,4,12,0.814192,0.393916,0.527266,25368
16,4,13,0.814667,0.393523,0.513586,25368
16,4,14,0.814042,0.390688,0.513827,25368
16,4,15,0.817859,0.399194,0.509460,25368
16,4,16,0.819685,0.402751,0.498729,25368
16,4,17,0.818103,0.397980,0.504859,25368
16,4,18,0.819764,0.399411,0.499210,25368
16,4,19,0.818877,0.395474,0.502978,25368
16,4,20,0.821681,0.403998,0.495107,25368
16,4,21,0.824010,0.412056,0.496586,25368
16,4,22,0.825664,0.417290,0.493099,25368
16,4,23,0.826868,0.421002,0.492269,25368
16,4,24,0.827457,0.423151,0.492191,25368
16,4,25,0.827017,0.422151,0.490104,25368
16,4,26,0.826251,0.420291,0.491896,25368
16,4,27,0.826555,0.421098,0.489227,25368
16,4,28,0.826958,0.421663,0.490805,25368
16,4,29,0.827094,0.421828,0.489564,25368
16,4,30,0.827228,0.422193,0.489131,25368
16,4,31,0.827671,0.422965,0.489176,25368
16,4,32,0.828280,0.423548,0.487225,25368
16,4,33,0.828602,0.423378,0.488087,25368
16,4,34,0.828832,0.423993,0.487434,25368
16,4,35,0.828855,0.424376,0.487492,25368
16,4,36,0.828787,0.424184,0.487709,25368
16,4,37,0.828875,0.423771,0.486681,25368
16,4,38,0.828923,0.423273,0.487453,25368
16,4,39,0.828774,0.423165,0.487219,25368
16,4,40,0.828599,0.423409,0.487412,25368
16,4,41,0.828888,0.424392,0.487088,25368
16,4,42,0.829443,0.425648,0.486084,25368
16,4,43,0.829803,0.426455,0.486249,25368
16,4,44,0.829875,0.426951,0.485872,25368
16,4,45,0.829813,0.427095,0.486119,25368
16,5,1,0.607595,0.193761,0.780960,25368
16,5,2,0.686059,0.252330,0.708057,25368
16,5,3,0.754311,0.314800,0.613669,25368
16,5,4,0.791271,0.358356,0.581851,25368
16,5,5,0.804723,0.373777,0.570094,25368
16,5,6,0.807050,0.372419,0.550559,25368
16,5,7,0.803410,0.362171,0.542381,25368
16,5,8,0.793955,0.346337,0.539658,25368
16,5,9,0.801388,0.357837,0.535095,25368
16,5,10,0.800517,0.357587,0.572261,25368
16,5,11,0.794204,0.354262,0.836495,25368
16,5,12,0.815210,0.389275,0.548096,25368
16,5,13,0.815162,0.390588,0.679869,25368
16,5,14,0.812498,0.383165,0.557401,25368
16,5,15,0.806945,0.373912,0.625150,25368
16,5,16,0.814707,0.387485,0.515929,25368
16,5,17,0.815073,0.389910,0.532012,25368
16,5,18,0.809149,0.374576,0.573676,25368
16,5,19,0.814393,0.383390,0.541090,25368
16,5,20,0.817406,0.391967,0.510840,25368
16,5,21,0.816746,0.393398,0.510590,25368
16,5,22,0.816697,0.395730,0.521526,25368
16,5,23,0.817948,0.399180,0.518617,25368
16,5,24,0.819846,0.403411,0.504156,25368
16,5,25,0.821446,0.406471,0.498979,25368
16,5,26,0.822340,0.407964,0.507022,25368
16,5,27,0.822875,0.409161,0.512725,25368
16,5,28,0.823399,0.410444,0.507012,25368
16,5,29,0.823896,0.411890,0.497173,25368
16,5,30,0.824153,0.413234,0.493437,25368
16,5,31,0.824246,0.413717,0.496889,25368
16,5,32,0.824454,0.414191,0.500481,25368
16,5,33,0.824897,0.414641,0.499017,25368
16,5,34,0.825447,0.414967,0.494659,25368
16,5,35,0.825922,0.415162,0.492064,25368
16,5,36,0.826271,0.415229,0.492660,25368
16,5,37,0.826541,0.415903,0.494319,25368
16,5,38,0.826837,0.416886,0.494209,25368
16,5,39,0.827135,0.417954,0.492293,25368
16,5,40,0.827358,0.418776,0.490849,25368
16,5,41,0.827473,0.419242,0.491205,25368
16,5,42,0.827563,0.419349,0.491554,25368
