strategy,threshold_regime,scaling_point,n_runs,selected_threshold_mean,selected_threshold_std,test_recall_mean,test_recall_std,test_specificity_mean,test_specificity_std,test_false_positive_rate_mean,test_false_positive_rate_std,test_false_positives_per_1000_negatives_mean,test_false_positives_per_1000_negatives_std
FedProx,minimum_recall,2,5,0.5972170948982238,0.01150706828173655,0.796520016975527,0.003923646606114369,0.6984840157552441,0.0034765359592844607,0.30151598424475584,0.0034765359592844607,301.5159842447559,3.4765359592844582
FedProx,minimum_recall,4,5,0.6001363635063172,0.0051125819431829455,0.7964068467958694,0.003922116223189591,0.698735916460566,0.002226411552621899,0.3012640835394339,0.0022264115526219193,301.26408353943395,2.226411552621895
FedProx,minimum_recall,8,5,0.5926364898681641,0.00630030988844613,0.7963502617060404,0.0051953618021844,0.69693597142072,0.004793159024412932,0.30306402857928,0.00479315902441294,303.06402857928003,4.793159024412922
FedProx,minimum_recall,16,5,0.583736777305603,0.007907347276266744,0.7990380534729099,0.005346280445304325,0.6889896491710177,0.0039018712247632257,0.3110103508289823,0.0039018712247632197,311.0103508289823,3.9018712247632332
FedProx,minimum_recall,32,5,0.5015923231840134,0.15568644280235844,0.8003678030838873,0.0025510401083830327,0.6748145094806265,0.007558294434746139,0.32518549051937345,0.007558294434746143,325.18549051937345,7.5582944347461405
FedProx,minimum_recall,64,5,0.5689733386039734,0.00884426933335482,0.8001131701796578,0.007441262034141976,0.6756068516991848,0.006627216835118056,0.3243931483008152,0.006627216835118045,324.39314830081526,6.62721683511806
FedProx,minimum_recall,128,5,0.5765224456787109,0.009557969722807695,0.79564294808318,0.005956235899591239,0.6860218008610424,0.005276648854880466,0.3139781991389576,0.005276648854880493,313.9781991389576,5.276648854880463
FedProx,minimum_recall,256,5,0.5180878221988678,0.13909761111892346,0.7941151506578017,0.004743327635433146,0.6798845836768344,0.007971613958767991,0.32011541632316565,0.007971613958767986,320.1154163231657,7.971613958767985
FedProx,minimum_recall,512,5,0.5696165919303894,0.00740823875416603,0.800679021077946,0.005101491843332012,0.6786250801502244,0.0030628097385286923,0.3213749198497756,0.00306280973852872,321.37491984977555,3.0628097385286805
FedProx,minimum_recall,1024,5,0.5646224617958069,0.005394145837290221,0.7960673362568963,0.004901025040005288,0.683145552807548,0.0041655650965609315,0.3168544471924521,0.004165565096560944,316.8544471924521,4.165565096560932
FedProx,minimum_recall,2048,5,0.5623509526252747,0.0064979120242984675,0.8000565850898289,0.0038723079217445728,0.679206741778877,0.0034749517413234696,0.320793258221123,0.0034749517413234805,320.793258221123,3.474951741323476
FedProx,minimum_recall,4096,5,0.5526575326919556,0.013644226510646871,0.7986136652991936,0.006778116734717242,0.6795868828432718,0.004195257996586622,0.32041311715672804,0.004195257996586612,320.41311715672805,4.195257996586633
FedProx,minimum_recall,8192,5,0.5214913010597229,0.008636403278924013,0.8003960956288017,0.004992451841850715,0.6796281029586883,0.0037098103874691063,0.3203718970413117,0.0037098103874690807,320.37189704131174,3.709810387469108
FedProx,minimum_recall,16384,5,0.43902037739753724,0.011965027916191797,0.7990380534729099,0.0029070503851548247,0.6763854538792708,0.008366512649201055,0.3236145461207291,0.008366512649201066,323.6145461207292,8.36651264920105
