scaling_point,run,round,roc_auc,pr_auc,loss,n_samples
8,1,1,0.715480,0.249127,0.641309,25368
8,1,2,0.758250,0.291231,0.619104,25368
8,1,3,0.773727,0.310814,0.602677,25368
8,1,4,0.781849,0.322735,0.588907,25368
8,1,5,0.787577,0.331691,0.577784,25368
8,1,6,0.791134,0.337883,0.568981,25368
8,1,7,0.793042,0.341441,0.561457,25368
8,1,8,0.795242,0.345550,0.554899,25368
8,1,9,0.796720,0.348330,0.549470,25368
8,1,10,0.798135,0.351073,0.544690,25368
8,1,11,0.799260,0.353266,0.540694,25368
8,1,12,0.800448,0.355523,0.537104,25368
8,1,13,0.801532,0.357556,0.534048,25368
8,1,14,0.802354,0.359118,0.531367,25368
8,1,15,0.803135,0.360534,0.529023,25368
8,1,16,0.803992,0.362220,0.526926,25368
8,1,17,0.804682,0.363562,0.525054,25368
8,1,18,0.805314,0.364669,0.523385,25368
8,1,19,0.805952,0.365831,0.521870,25368
8,1,20,0.806532,0.366918,0.520503,25368
8,1,21,0.807122,0.368071,0.519235,25368
8,1,22,0.807647,0.369089,0.518136,25368
8,1,23,0.808135,0.370057,0.517113,25368
8,1,24,0.808625,0.371007,0.516195,25368
8,1,25,0.809009,0.371599,0.515371,25368
8,1,26,0.809415,0.372349,0.514593,25368
8,1,27,0.809840,0.373143,0.513848,25368
8,1,28,0.810216,0.373791,0.513189,25368
8,1,29,0.810586,0.374463,0.512560,25368
8,1,30,0.810940,0.375142,0.511980,25368
8,1,31,0.811238,0.375613,0.511452,25368
8,1,32,0.811554,0.376228,0.510944,25368
8,1,33,0.811844,0.376749,0.510469,25368
8,1,34,0.812121,0.377217,0.510015,25368
8,1,35,0.812402,0.377744,0.509589,25368
8,1,36,0.812661,0.378243,0.509182,25368
8,1,37,0.812887,0.378706,0.508812,25368
8,1,38,0.813134,0.379138,0.508448,25368
8,1,39,0.813374,0.379609,0.508103,25368
8,1,40,0.813586,0.379956,0.507784,25368
8,1,41,0.813800,0.380370,0.507475,25368
8,1,42,0.813999,0.380724,0.507184,25368
8,1,43,0.814209,0.381163,0.506895,25368
8,1,44,0.814372,0.381419,0.506642,25368
8,1,45,0.814553,0.381766,0.506386,25368
8,1,46,0.814734,0.382114,0.506131,25368
8,1,47,0.814896,0.382404,0.505896,25368
8,1,48,0.815031,0.382600,0.505699,25368
8,1,49,0.815218,0.383022,0.505454,25368
8,1,50,0.815371,0.383332,0.505237,25368
8,1,51,0.815511,0.383580,0.505042,25368
8,1,52,0.815639,0.383793,0.504852,25368
8,1,53,0.815755,0.383997,0.504681,25368
8,1,54,0.815917,0.384405,0.504474,25368
8,1,55,0.816047,0.384665,0.504296,25368
8,1,56,0.816160,0.384902,0.504133,25368
8,1,57,0.816264,0.385076,0.503986,25368
8,1,58,0.816404,0.385428,0.503810,25368
8,1,59,0.816479,0.385461,0.503680,25368
8,1,60,0.816594,0.385735,0.503523,25368
8,1,61,0.816701,0.385947,0.503379,25368
8,1,62,0.816781,0.386039,0.503257,25368
8,1,63,0.816904,0.386354,0.503098,25368
8,1,64,0.817027,0.386677,0.502965,25368
8,1,65,0.817113,0.386826,0.502834,25368
8,1,66,0.817206,0.386998,0.502710,25368
8,1,67,0.817255,0.386993,0.502626,25368
8,1,68,0.817359,0.387264,0.502491,25368
8,1,69,0.817466,0.387514,0.502366,25368
8,1,70,0.817552,0.387709,0.502252,25368
8,1,71,0.817617,0.387820,0.502149,25368
8,1,72,0.817674,0.387870,0.502064,25368
8,1,73,0.817743,0.387993,0.501967,25368
8,1,74,0.817831,0.388202,0.501850,25368
8,1,75,0.817913,0.388391,0.501746,25368
8,1,76,0.817978,0.388519,0.501654,25368
8,1,77,0.818024,0.388571,0.501584,25368
8,1,78,0.818117,0.388790,0.501468,25368
8,1,79,0.818205,0.389043,0.501366,25368
8,1,80,0.818264,0.389175,0.501283,25368
8,2,1,0.756245,0.318411,0.617675,25368
8,2,2,0.778466,0.347423,0.592997,25368
8,2,3,0.788322,0.359842,0.577486,25368
8,2,4,0.792776,0.365502,0.565405,25368
8,2,5,0.796152,0.369896,0.556254,25368
8,2,6,0.798650,0.373204,0.549011,25368
8,2,7,0.800694,0.375928,0.543255,25368
8,2,8,0.802437,0.378187,0.538507,25368
8,2,9,0.803863,0.380131,0.534443,25368
8,2,10,0.805145,0.381905,0.531025,25368
8,2,11,0.806278,0.383533,0.528076,25368
8,2,12,0.807249,0.384943,0.525509,25368
8,2,13,0.808108,0.386046,0.523326,25368
8,2,14,0.809024,0.387357,0.521390,25368
8,2,15,0.809750,0.388423,0.519626,25368
8,2,16,0.810464,0.389420,0.518126,25368
8,2,17,0.811108,0.390355,0.516755,25368
8,2,18,0.811700,0.391211,0.515514,25368
8,2,19,0.812234,0.391964,0.514367,25368
8,2,20,0.812734,0.392711,0.513318,25368
8,2,21,0.813223,0.393425,0.512370,25368
8,2,22,0.813637,0.394024,0.511507,25368
8,2,23,0.814067,0.394618,0.510719,25368
8,2,24,0.814467,0.395254,0.509999,25368
8,2,25,0.814796,0.395689,0.509327,25368
8,2,26,0.815161,0.396243,0.508697,25368
8,2,27,0.815491,0.396721,0.508120,25368
8,2,28,0.815770,0.397061,0.507563,25368
8,2,29,0.816043,0.397433,0.507056,25368
8,2,30,0.816292,0.397759,0.506582,25368
8,2,31,0.816549,0.398108,0.506140,25368
8,2,32,0.816807,0.398500,0.505720,25368
8,2,33,0.817027,0.398808,0.505323,25368
8,2,34,0.817238,0.399090,0.504959,25368
8,2,35,0.817432,0.399373,0.504613,25368
8,2,36,0.817612,0.399554,0.504292,25368
8,2,37,0.817798,0.399814,0.503985,25368
8,2,38,0.817979,0.400095,0.503691,25368
8,2,39,0.818130,0.400335,0.503415,25368
8,2,40,0.818281,0.400571,0.503157,25368
8,2,41,0.818418,0.400724,0.502909,25368
8,2,42,0.818558,0.400891,0.502677,25368
8,2,43,0.818689,0.401004,0.502458,25368
8,2,44,0.818800,0.401077,0.502249,25368
8,2,45,0.818908,0.401184,0.502053,25368
8,2,46,0.819038,0.401376,0.501852,25368
8,2,47,0.819144,0.401514,0.501669,25368
8,2,48,0.819252,0.401567,0.501491,25368
8,2,49,0.819361,0.401713,0.501321,25368
8,2,50,0.819461,0.401881,0.501167,25368
8,2,51,0.819554,0.402038,0.501011,25368
8,2,52,0.819647,0.402149,0.500864,25368
8,2,53,0.819727,0.402196,0.500716,25368
8,2,54,0.819814,0.402307,0.500580,25368
