scaling_point,run,round,roc_auc,pr_auc,loss,n_samples
16,1,1,0.728716,0.299508,0.631432,25368
16,1,2,0.761826,0.327469,0.610862,25368
16,1,3,0.776934,0.342176,0.595729,25368
16,1,4,0.784524,0.350742,0.583979,25368
16,1,5,0.789408,0.357006,0.573995,25368
16,1,6,0.792860,0.361763,0.565891,25368
16,1,7,0.795154,0.364994,0.559271,25368
16,1,8,0.797038,0.367759,0.553712,25368
16,1,9,0.798602,0.370042,0.548944,25368
16,1,10,0.799843,0.371919,0.544807,25368
16,1,11,0.800967,0.373801,0.541208,25368
16,1,12,0.801937,0.375304,0.538131,25368
16,1,13,0.802887,0.376684,0.535400,25368
16,1,14,0.803734,0.377977,0.532971,25368
16,1,15,0.804504,0.379129,0.530852,25368
16,1,16,0.805267,0.380345,0.528866,25368
16,1,17,0.805971,0.381443,0.527064,25368
16,1,18,0.806608,0.382459,0.525441,25368
16,1,19,0.807214,0.383454,0.523934,25368
16,1,20,0.807794,0.384317,0.522563,25368
16,1,21,0.808377,0.385315,0.521269,25368
16,1,22,0.808862,0.386032,0.520107,25368
16,1,23,0.809377,0.386884,0.519023,25368
16,1,24,0.809829,0.387575,0.518029,25368
16,1,25,0.810296,0.388352,0.517096,25368
16,1,26,0.810716,0.388993,0.516198,25368
16,1,27,0.811140,0.389641,0.515387,25368
16,1,28,0.811506,0.390207,0.514609,25368
16,1,29,0.811883,0.390810,0.513896,25368
16,1,30,0.812233,0.391331,0.513207,25368
16,1,31,0.812566,0.391842,0.512552,25368
16,1,32,0.812868,0.392353,0.511916,25368
16,1,33,0.813192,0.392879,0.511334,25368
16,1,34,0.813517,0.393600,0.510776,25368
16,1,35,0.813798,0.393999,0.510245,25368
16,1,36,0.814034,0.394362,0.509743,25368
16,1,37,0.814309,0.394830,0.509264,25368
16,1,38,0.814588,0.395334,0.508806,25368
16,1,39,0.814842,0.395726,0.508376,25368
16,1,40,0.815046,0.395968,0.507974,25368
16,1,41,0.815281,0.396276,0.507569,25368
16,1,42,0.815493,0.396627,0.507189,25368
16,1,43,0.815713,0.396996,0.506820,25368
16,1,44,0.815893,0.397221,0.506473,25368
16,1,45,0.816094,0.397576,0.506133,25368
16,1,46,0.816227,0.397673,0.505836,25368
16,1,47,0.816436,0.398090,0.505507,25368
16,1,48,0.816602,0.398299,0.505206,25368
16,1,49,0.816768,0.398524,0.504920,25368
16,1,50,0.816950,0.398796,0.504632,25368
16,1,51,0.817129,0.399107,0.504365,25368
16,1,52,0.817267,0.399250,0.504102,25368
16,1,53,0.817403,0.399422,0.503867,25368
16,1,54,0.817558,0.399644,0.503624,25368
16,1,55,0.817710,0.399871,0.503395,25368
16,1,56,0.817834,0.400014,0.503164,25368
16,1,57,0.817951,0.400137,0.502950,25368
16,1,58,0.818109,0.400399,0.502733,25368
16,1,59,0.818201,0.400474,0.502545,25368
16,1,60,0.818321,0.400773,0.502345,25368
16,1,61,0.818406,0.400798,0.502166,25368
16,1,62,0.818518,0.400938,0.501988,25368
16,1,63,0.818641,0.401143,0.501812,25368
16,1,64,0.818751,0.401376,0.501644,25368
16,1,65,0.818810,0.401336,0.501495,25368
16,1,66,0.818914,0.401432,0.501335,25368
16,1,67,0.819029,0.401655,0.501173,25368
16,1,68,0.819115,0.401786,0.501039,25368
16,1,69,0.819180,0.401802,0.500904,25368
16,1,70,0.819275,0.401956,0.500760,25368
16,1,71,0.819365,0.402015,0.500618,25368
16,1,72,0.819444,0.402113,0.500489,25368
16,1,73,0.819529,0.402162,0.500352,25368
16,1,74,0.819594,0.402194,0.500230,25368
16,1,75,0.819653,0.402209,0.500126,25368
16,1,76,0.819736,0.402342,0.499999,25368
16,1,77,0.819794,0.402388,0.499891,25368
16,1,78,0.819851,0.402423,0.499789,25368
16,1,79,0.819933,0.402558,0.499671,25368
16,1,80,0.819997,0.402686,0.499570,25368
16,2,1,0.738506,0.292405,0.629707,25368
16,2,2,0.759606,0.311351,0.615044,25368
16,2,3,0.773305,0.324718,0.603232,25368
16,2,4,0.781461,0.333671,0.593434,25368
