scaling_point,run,round,roc_auc,pr_auc,loss,n_samples
64,1,1,0.582426,0.201604,0.775115,25368
64,1,2,0.595427,0.209249,0.752717,25368
64,1,3,0.618385,0.223506,0.722132,25368
64,1,4,0.649571,0.244567,0.688756,25368
64,1,5,0.682889,0.269102,0.656584,25368
64,1,6,0.712310,0.293133,0.629063,25368
64,1,7,0.735720,0.314145,0.607032,25368
64,1,8,0.753108,0.330764,0.590120,25368
64,1,9,0.765958,0.343888,0.577140,25368
64,1,10,0.775271,0.353627,0.567416,25368
64,1,11,0.782061,0.361014,0.559631,25368
64,1,12,0.787435,0.366680,0.553872,25368
64,1,13,0.790809,0.371160,0.549244,25368
64,1,14,0.793969,0.373160,0.548417,25368
64,1,15,0.794612,0.376035,0.548027,25368
64,1,16,0.797435,0.374705,0.567507,25368
64,1,17,0.791327,0.374515,0.606388,25368
64,1,18,0.790069,0.359699,0.804401,25368
64,1,19,0.789377,0.374269,0.774064,25368
64,1,20,0.788829,0.356209,0.949594,25368
64,1,21,0.807471,0.394768,0.629229,25368
64,1,22,0.801921,0.374047,0.668289,25368
64,1,23,0.809117,0.395145,0.581599,25368
64,1,24,0.805902,0.380926,0.597827,25368
64,1,25,0.809275,0.394238,0.560643,25368
64,1,26,0.807356,0.383232,0.575215,25368
64,1,27,0.809318,0.393222,0.550118,25368
64,1,28,0.808267,0.384716,0.561913,25368
64,1,29,0.809547,0.392689,0.542560,25368
64,1,30,0.809056,0.385928,0.553447,25368
64,1,31,0.809900,0.392459,0.538167,25368
64,1,32,0.809835,0.387139,0.545620,25368
64,1,33,0.810428,0.392717,0.533263,25368
64,1,34,0.810606,0.388597,0.538531,25368
64,1,35,0.811034,0.393204,0.528825,25368
64,1,36,0.811348,0.389992,0.531933,25368
64,1,37,0.811667,0.393724,0.524774,25368
64,1,38,0.811834,0.390679,0.528586,25368
64,1,39,0.812100,0.393971,0.522325,25368
64,1,40,0.812334,0.391391,0.525044,25368
64,1,41,0.812590,0.394288,0.519807,25368
64,1,42,0.812852,0.392164,0.521948,25368
64,1,43,0.813125,0.394763,0.517339,25368
64,1,44,0.813391,0.393073,0.518626,25368
64,1,45,0.813613,0.395224,0.515506,25368
64,1,46,0.813887,0.393879,0.516590,25368
64,1,47,0.814043,0.395536,0.513945,25368
64,1,48,0.814235,0.394375,0.515401,25368
64,1,49,0.814389,0.395856,0.513122,25368
64,1,50,0.814564,0.394737,0.514515,25368
