scaling_point,run,round,roc_auc,pr_auc,loss,n_samples
8192,1,1,0.511047,0.157400,0.817494,25368
8192,1,10,0.757529,0.317550,0.577607,25368
8192,1,20,0.800923,0.371733,0.568211,25368
8192,1,30,0.809206,0.384734,0.538659,25368
8192,1,40,0.812906,0.390905,0.521500,25368
8192,1,45,0.812305,0.390676,0.535847,25368
8192,1,50,0.815215,0.394976,0.511370,25368
8192,1,55,0.814740,0.394386,0.524349,25368
8192,1,60,0.816845,0.397908,0.507022,25368
8192,1,61,0.816009,0.396700,0.519921,25368
8192,1,62,0.817082,0.398262,0.506523,25368
8192,1,63,0.816280,0.397036,0.518908,25368
8192,1,64,0.817330,0.398663,0.505747,25368
8192,1,65,0.816841,0.397887,0.514197,25368
8192,1,66,0.817636,0.399346,0.504691,25368
8192,1,67,0.817333,0.398812,0.509975,25368
8192,1,68,0.817775,0.399579,0.504874,25368
8192,1,69,0.817704,0.399410,0.507355,25368
8192,1,70,0.817884,0.399781,0.505722,25368
8192,1,71,0.817930,0.399830,0.505897,25368
8192,1,72,0.818007,0.399952,0.505725,25368
8192,1,73,0.818069,0.400052,0.505805,25368
8192,1,74,0.818122,0.400131,0.505448,25368
8192,1,75,0.818180,0.400247,0.505508,25368
8192,1,76,0.818225,0.400326,0.505516,25368
8192,1,77,0.818285,0.400464,0.505319,25368
8192,1,78,0.818335,0.400534,0.505147,25368
8192,1,79,0.818361,0.400591,0.505284,25368
8192,1,80,0.818406,0.400679,0.505231,25368
8192,2,1,0.549180,0.151449,0.867764,25368
8192,2,10,0.774358,0.332862,0.557019,25368
8192,2,20,0.806597,0.375774,0.522670,25368
8192,2,30,0.811521,0.383265,0.540913,25368
8192,2,40,0.814840,0.390095,0.522009,25368
8192,2,45,0.814352,0.390303,0.538518,25368
8192,2,50,0.816559,0.392992,0.510969,25368
8192,2,55,0.816302,0.393576,0.528085,25368
8192,2,60,0.817939,0.395901,0.505509,25368
8192,2,61,0.817441,0.395593,0.519887,25368
8192,2,62,0.818188,0.396444,0.504745,25368
8192,2,63,0.817887,0.396369,0.515712,25368
8192,2,64,0.818445,0.396991,0.503698,25368
8192,2,65,0.818245,0.396908,0.512092,25368
8192,2,66,0.818661,0.397451,0.503629,25368
8192,2,67,0.818625,0.397473,0.507299,25368
8192,2,68,0.818803,0.397761,0.504461,25368
8192,2,69,0.818826,0.397816,0.505581,25368
8192,2,70,0.818896,0.397938,0.504693,25368
8192,2,71,0.818942,0.397995,0.504670,25368
8192,2,72,0.818988,0.398106,0.504970,25368
8192,2,73,0.819046,0.398196,0.504552,25368
8192,2,74,0.819087,0.398254,0.504767,25368
8192,2,75,0.819140,0.398358,0.504541,25368
8192,2,76,0.819189,0.398476,0.504411,25368
8192,2,77,0.819226,0.398561,0.504523,25368
8192,2,78,0.819264,0.398653,0.504194,25368
8192,2,79,0.819301,0.398726,0.504314,25368
8192,2,80,0.819334,0.398802,0.504414,25368
8192,3,1,0.393782,0.115117,1.389275,25368
8192,3,10,0.752372,0.292069,0.583166,25368
8192,3,20,0.797011,0.351664,0.542539,25368
8192,3,30,0.806643,0.370039,0.544343,25368
8192,3,40,0.811287,0.378655,0.521586,25368
8192,3,45,0.812185,0.383350,0.538309,25368
8192,3,50,0.814165,0.384748,0.510269,25368
8192,3,55,0.814836,0.388210,0.525242,25368
8192,3,60,0.816096,0.389004,0.504913,25368
8192,3,61,0.816018,0.390536,0.521406,25368
8192,3,62,0.816486,0.390003,0.503804,25368
8192,3,63,0.816432,0.391312,0.519340,25368
8192,3,64,0.816863,0.390902,0.502843,25368
8192,3,65,0.816945,0.392188,0.513260,25368
8192,3,66,0.817246,0.391956,0.502442,25368
8192,3,67,0.817304,0.392705,0.507533,25368
8192,3,68,0.817465,0.392503,0.503078,25368
8192,3,69,0.817553,0.393000,0.505083,25368
8192,3,70,0.817664,0.393061,0.504012,25368
8192,3,71,0.817733,0.393397,0.503956,25368
8192,3,72,0.817802,0.393539,0.503903,25368
8192,3,73,0.817870,0.393686,0.503668,25368
8192,3,74,0.817945,0.393904,0.503740,25368
8192,3,75,0.817997,0.394027,0.503749,25368
8192,3,76,0.818064,0.394206,0.503799,25368
8192,3,77,0.818112,0.394328,0.503434,25368
8192,3,78,0.818148,0.394380,0.503471,25368
8192,3,79,0.818189,0.394453,0.503379,25368
8192,3,80,0.818234,0.394561,0.503153,25368
8192,4,1,0.573729,0.196906,0.801513,25368
8192,4,10,0.753598,0.321010,0.594765,25368
8192,4,20,0.790281,0.357412,0.592351,25368
8192,4,30,0.798208,0.370844,0.641204,25368
8192,4,40,0.804776,0.379715,0.581437,25368
8192,4,45,0.810446,0.384380,0.527901,25368
8192,4,50,0.808678,0.385080,0.553766,25368
8192,4,55,0.812232,0.387530,0.517632,25368
8192,4,60,0.811271,0.388900,0.536244,25368
8192,4,61,0.813154,0.389428,0.513542,25368
8192,4,62,0.811473,0.389329,0.536944,25368
8192,4,63,0.813404,0.389775,0.513028,25368
8192,4,64,0.812070,0.390145,0.532323,25368
8192,4,65,0.813751,0.390751,0.510870,25368
8192,4,66,0.812990,0.391280,0.522696,25368
8192,4,67,0.813972,0.391432,0.509960,25368
8192,4,68,0.813636,0.391898,0.516111,25368
8192,4,69,0.814055,0.392090,0.511121,25368
8192,4,70,0.813973,0.392169,0.512826,25368
8192,4,71,0.814067,0.392256,0.512123,25368
8192,4,72,0.814127,0.392374,0.512017,25368
8192,4,73,0.814220,0.392486,0.511491,25368
8192,4,74,0.814246,0.392601,0.511607,25368
8192,4,75,0.814300,0.392700,0.511542,25368
8192,4,76,0.814364,0.392809,0.511369,25368
8192,4,77,0.814411,0.392894,0.511235,25368
8192,4,78,0.814466,0.392994,0.511075,25368
8192,4,79,0.814512,0.393096,0.510976,25368
8192,4,80,0.814548,0.393187,0.511086,25368
8192,5,1,0.413520,0.124722,1.396152,25368
8192,5,5,0.619056,0.197229,0.710083,25368
8192,5,10,0.761983,0.310763,0.575502,25368
8192,5,15,0.789495,0.350774,0.545740,25368
8192,5,20,0.797181,0.362582,0.537931,25368
8192,5,25,0.803668,0.371316,0.528609,25368
8192,5,30,0.795300,0.360763,0.612746,25368
8192,5,35,0.808893,0.378242,0.545382,25368
8192,5,40,0.804616,0.375144,0.572786,25368
8192,5,45,0.811951,0.382661,0.524033,25368
8192,5,50,0.809302,0.380529,0.543254,25368
8192,5,51,0.813120,0.384231,0.516563,25368
8192,5,52,0.809989,0.381178,0.538695,25368
8192,5,53,0.813428,0.384534,0.515223,25368
8192,5,54,0.810412,0.381556,0.537703,25368
8192,5,55,0.813713,0.384886,0.514214,25368
8192,5,56,0.810818,0.381975,0.536464,25368
8192,5,57,0.814055,0.385380,0.512854,25368
8192,5,58,0.811553,0.382835,0.532284,25368
8192,5,59,0.814344,0.385849,0.511383,25368
8192,5,60,0.812019,0.383272,0.529880,25368
8192,5,61,0.814627,0.386216,0.510417,25368
8192,5,62,0.812551,0.383998,0.527742,25368
8192,5,63,0.814930,0.386658,0.509373,25368
8192,5,64,0.813252,0.384933,0.523182,25368
8192,5,65,0.815149,0.387193,0.508085,25368
8192,5,66,0.814071,0.385936,0.516775,25368
8192,5,67,0.815202,0.387514,0.507860,25368
8192,5,68,0.814639,0.386632,0.512915,25368
8192,5,69,0.815227,0.387485,0.508669,25368
8192,5,70,0.815055,0.387144,0.510631,25368
8192,5,71,0.815270,0.387436,0.509472,25368
8192,5,72,0.815355,0.387537,0.509284,25368
8192,5,73,0.815422,0.387580,0.509040,25368
8192,5,74,0.815464,0.387641,0.509120,25368
8192,5,75,0.815536,0.387737,0.508960,25368
8192,5,76,0.815598,0.387832,0.508797,25368
8192,5,77,0.815645,0.387911,0.508741,25368
8192,5,78,0.815699,0.388002,0.508693,25368
8192,5,79,0.815741,0.388075,0.508654,25368
8192,5,80,0.815791,0.388248,0.508608,25368
