strategy,scaling_point,run,checkpoint_selection,selected_round,selected_checkpoint,threshold_regime,selected_threshold,minimum_validation_recall_requirement,validation_candidate_threshold_count,validation_eligible_threshold_count,validation_roc_auc,validation_average_precision,test_roc_auc,test_average_precision,validation_tp,validation_fp,validation_tn,validation_fn,validation_mcc,validation_recall,validation_specificity,validation_precision,validation_f1,validation_balanced_accuracy,test_tp,test_fp,test_tn,test_fn,test_mcc,test_recall,test_specificity,test_precision,test_f1,test_accuracy,test_balanced_accuracy,test_false_positive_rate,test_false_negative_rate,test_predicted_positive_rate,test_false_positives_per_1000_negatives,validation_n_samples,test_n_samples
SCAFFOLD,4,1,highest_validation_average_precision,80,result/splits_iid_scaling/splits_iid_4_clients.json/SCAFFOLD/bestPRROC/run_1/model_round_80_run_1.pt,mcc_optimal,0.7114383578300476,,24658,,0.8209193860739595,0.40420111896830324,0.8188526742629443,0.4012198295582819,2272,3990,17843,1263,0.36943208666418975,0.6427157001414427,0.8172491183071497,0.36282337911210477,0.46381545371031946,0.7299824092242962,4542,8300,35368,2527,0.3603520371699088,0.6425236950063659,0.8099294678025099,0.353683226911696,0.4562302244990206,0.7866054358751996,0.7262265814044379,0.19007053219749015,0.35747630499363414,0.2531091708220825,190.07053219749014,25368,50737
SCAFFOLD,4,1,highest_validation_average_precision,80,result/splits_iid_scaling/splits_iid_4_clients.json/SCAFFOLD/bestPRROC/run_1/model_round_80_run_1.pt,minimum_recall,0.5736062526702881,0.8,24658,15060,0.8209193860739595,0.40420111896830324,0.8188526742629443,0.4012198295582819,2828,6829,15004,707,0.34749652188511104,0.8,0.6872165987266982,0.29284456870663766,0.42874469375379015,0.743608299363349,5703,13978,29690,1366,0.3458551578420991,0.8067619182345452,0.6799029037281304,0.28977186118591536,0.42639252336448596,0.6975777046336993,0.7433324109813378,0.32009709627186955,0.19323808176545476,0.3879023198060587,320.09709627186953,25368,50737
SCAFFOLD,4,2,highest_validation_average_precision,80,result/splits_iid_scaling/splits_iid_4_clients.json/SCAFFOLD/bestPRROC/run_2/model_round_80_run_2.pt,mcc_optimal,0.6571599245071411,,24660,,0.8210624095171195,0.4038305646423839,0.8175826650201168,0.3996647102461169,2506,4989,16844,1029,0.3646473908409237,0.7089108910891089,0.7714926945449548,0.3343562374916611,0.4543970988213962,0.7402017928170319,5023,10298,33370,2046,0.35807611804846107,0.7105672655255341,0.7641751396903911,0.32785066248939365,0.44868244752121483,0.7567061513294046,0.7373712026079626,0.23582486030960892,0.28943273447446594,0.30196897727496697,235.8248603096089,25368,50737
SCAFFOLD,4,2,highest_validation_average_precision,80,result/splits_iid_scaling/splits_iid_4_clients.json/SCAFFOLD/bestPRROC/run_2/model_round_80_run_2.pt,minimum_recall,0.5776301622390747,0.8,24660,15245,0.8210624095171195,0.4038305646423839,0.8175826650201168,0.3996647102461169,2828,6635,15198,707,0.35525593278779827,0.8,0.6961022305684056,0.29884814540843285,0.43514386828742885,0.7480511152842029,5641,13616,30052,1428,0.34693617649384784,0.7979912293110766,0.6881927269396354,0.29293244015163317,0.42854972270758945,0.7034905493032698,0.743091978125356,0.3118072730603646,0.20200877068892342,0.37954549933973236,311.8072730603646,25368,50737
SCAFFOLD,4,3,highest_validation_average_precision,80,result/splits_iid_scaling/splits_iid_4_clients.json/SCAFFOLD/bestPRROC/run_3/model_round_80_run_3.pt,mcc_optimal,0.6869955658912659,,24661,,0.8213125013321192,0.41056585378652755,0.8185759524667623,0.40549803172949317,2370,4353,17480,1165,0.3696291124688914,0.6704384724186704,0.8006229102734392,0.3525211958946899,0.462078377851433,0.7355306913460549,4719,9002,34666,2350,0.35972106732164866,0.6675625972556232,0.7938536227901438,0.34392536987100064,0.45396825396825397,0.7762579577034512,0.7307081100228835,0.20614637720985618,0.33243740274437683,0.27043380570392417,206.14637720985618,25368,50737
SCAFFOLD,4,3,highest_validation_average_precision,80,result/splits_iid_scaling/splits_iid_4_clients.json/SCAFFOLD/bestPRROC/run_3/model_round_80_run_3.pt,minimum_recall,0.5736528635025024,0.8,24661,15166,0.8213125013321192,0.41056585378652755,0.8185759524667623,0.40549803172949317,2828,6727,15106,707,0.3515568293302131,0.8,0.6918884257774928,0.295970695970696,0.4320855614973262,0.7459442128887463,5661,13778,29890,1408,0.3456835576574596,0.800820483802518,0.6844829165521663,0.2912186840886877,0.427116342236306,0.7006918028263398,0.7426517001773422,0.3155170834478337,0.19917951619748198,0.3831326251059385,315.51708344783367,25368,50737
SCAFFOLD,4,4,highest_validation_average_precision,80,result/splits_iid_scaling/splits_iid_4_clients.json/SCAFFOLD/bestPRROC/run_4/model_round_80_run_4.pt,mcc_optimal,0.7125195860862732,,24654,,0.8220578531997844,0.4061917300055088,0.8190896505665968,0.40234043977135137,2273,4034,17799,1262,0.36715796939200485,0.642998585572843,0.8152338203636696,0.3603932138893293,0.4618979882137777,0.7291162029682563,4524,8308,35360,2545,0.3582703981003264,0.6399773659640685,0.8097462672895485,0.3525561097256858,0.4546505200743681,0.7860929893371701,0.7248618166268085,0.19025373271045154,0.3600226340359315,0.2529120759997635,190.25373271045154,25368,50737
SCAFFOLD,4,4,highest_validation_average_precision,80,result/splits_iid_scaling/splits_iid_4_clients.json/SCAFFOLD/bestPRROC/run_4/model_round_80_run_4.pt,minimum_recall,0.5821008086204529,0.8,24654,15138,0.8220578531997844,0.4061917300055088,0.8190896505665968,0.40234043977135137,2828,6750,15083,707,0.35063756041597627,0.8,0.6908349745797646,0.29525997076633953,0.431327690078548,0.7454174872898823,5676,13815,29853,1393,0.3464167399546471,0.8029424246710992,0.6836356141797197,0.2912113283053717,0.4274096385542169,0.7002581942172379,0.7432890194254095,0.31636438582028026,0.19705757532890078,0.38415751818199734,316.36438582028023,25368,50737
SCAFFOLD,4,5,highest_validation_average_precision,80,result/splits_iid_scaling/splits_iid_4_clients.json/SCAFFOLD/bestPRROC/run_5/model_round_80_run_5.pt,mcc_optimal,0.6887831091880798,,24661,,0.8222566944617722,0.4061471678007702,0.8177062796893387,0.4006290022614993,2386,4393,17440,1149,0.370761657073945,0.674964639321075,0.798790821233912,0.35196931700840833,0.4626720961799496,0.7368777302774935,4709,9113,34555,2360,0.35581691356423645,0.6661479700099024,0.7913117156728039,0.34068875705397195,0.4508161409219281,0.773873110353391,0.7287298428413531,0.2086882843271961,0.33385202999009755,0.27242446340934623,208.6882843271961,25368,50737
SCAFFOLD,4,5,highest_validation_average_precision,80,result/splits_iid_scaling/splits_iid_4_clients.json/SCAFFOLD/bestPRROC/run_5/model_round_80_run_5.pt,minimum_recall,0.5781304240226746,0.8,24661,15067,0.8222566944617722,0.4061471678007702,0.8177062796893387,0.4006290022614993,2828,6829,15004,707,0.34749652188511104,0.8,0.6872165987266982,0.29284456870663766,0.42874469375379015,0.743608299363349,5673,13940,29728,1396,0.34367643918378465,0.802518036497383,0.6807731061646972,0.2892469280579208,0.4252304924668316,0.6977353804915545,0.7416455713310401,0.3192268938353028,0.19748196350261704,0.38656207501428935,319.2268938353028,25368,50737
